"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(January -2025)","During the current
Year Upto the month
under review","During the month
under review
(January -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2640,2640,1379,1379
2,Mysuru City,179,179,49,49
3,Hubballi Dharwad City,140,140,74,74
4,Mangaluru City,171,171,107,107
5,Belagavi City,151,151,37,37
6,Kalaburagi City,176,176,167,167
,Central Range,,,,
1,Bengaluru Dist,606,606,98,98
2,Ramanagara,311,311,87,87
3,Tumakuru,481,481,211,211
4,Kolar,172,172,49,49
5,Chickballapura,215,215,135,135
6,K.G.F,60,60,17,17
,Eastern Range,,,,
1,Chitradurga,363,363,107,107
2,Davanagere,269,269,121,121
3,Shivamogga,487,487,101,101
4,Haveri,198,198,100,100
,Western Range,,,,
1,Dakshina Kannada,130,130,23,23
2,Udupi,216,216,52,52
3,Chikkamagaluru,238,238,85,85
4,Uttara Kannada,233,233,82,82
,Northern Range,,,,
1,Belagavi Dist,417,417,86,86
2,Bagalkot,206,206,110,110
3,Vijayapur,248,248,105,105
4,Dharwad,105,105,38,38
5,Gadag,87,87,52,52
,North Eastern Range,,,,
1,Kalaburagi,210,210,85,85
2,Bidar,272,272,58,58
3,Yadgir,139,139,118,118
,Southern Range,,,,
1,Mysuru Dist,438,438,61,61
2,Mandya,386,386,101,101
3,Chamarajanagar,155,155,89,89
4,Hassan,421,421,121,121
5,Kodagu,144,144,33,33
,Ballari Range,,,,
1,Ballari,137,137,111,111
2,Koppal,168,168,85,85
3,Raichur,260,260,120,120
4,Vijayanagara,130,130,75,75
,Karnataka Railways,57,57,5,5
,STATE,11416,11416,4534,4534
