Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
6,CONSUMER,,,,
,"Liquified Petroleum Gas Supply & Control Order
2000",52,4,7,7
,Consumer (Protection) Act 1986,5,1,2,2
,Essential Commodities Act 1955,300,46,65,62
,Prevention of Food Adulternation Act 1954,2,3,0,0
,Packaged Commodities (Regulation) order 1975,0,0,0,0
,Sub Total,359,54,74,71
7,COPY RIGHT ACT 1957,,,,
,By Company,71,15,6,8
,By Individual,46,13,7,11
,Sub Total,117,28,13,19
8,CIVIL RIGHTS,,,,
,Protection of Civil Rights Act 1955,3,0,0,0
,Sub Total,3,0,0,0
9,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,,,
,Scheduled Caste,667,100,118,108
,Scheduled Tribes,148,9,19,30
,Scheduled Caste Women,249,33,34,44
,Scheduled Tribes Women,56,10,6,8
,Sub Total,1120,152,177,190
10,CHILDREN ACT,,,,
,Child Labour (Prohibition & Regulation) Act1986,36,19,4,12
,Child Marriage (Restraint) Act - 1929,115,22,30,30
,Juvenile Justice Act 1986,85,11,16,6
,Probation of offenders Act 1958,0,0,0,0
,"Protection of Children from Sexual Offences Act
2012 (POCSO)",0,0,0,0
,Sub Total,236,52,50,48
11,PREVENTION OF CORRUPTION ACT 1988,,,,
,Public Servant - Elected,0,0,0,0
,Public Servant - Gazetted - Central,1,0,0,1
,Public Servant - Gazetted - Defence,0,0,0,0
,"Public Servant - Gazetted - Public Sector
Undertaking",0,0,0,0
,Public Servant - Gazetted - State,1,0,1,0
,Public Servant - Non-Gazetted - Central,0,0,0,0
,Public Servant - Non-Gazetted - Defence,0,0,0,0
,Public Servant - Non-Gazetted - State,0,0,0,0
,Sub Total,2,0,1,1
12,CUSTOMS,,,,
,Customs Act 1962,0,0,0,0
,Import/Export (Control) Act 1947,0,0,0,0
,Sub Total,0,0,0,0
13,Explosives,,,,
,Explosives Substances Act 1908,22,1,2,2
,Explosives Act 1884,22,3,2,3
,Inflammable Substance Act 1952,0,0,0,0
,Sub Total,44,4,4,5
14,FOREIGN EXCHANGE,,,,
,"Smugglers and Foreign Exchange Manipulator Act
1976",0,0,0,0
,Foreign Exchange Regulation Act 1973,0,0,0,0
,Foreign Exchange Regulation Act 1952,0,0,0,0
,Sub Total,0,0,0,0
15,FOREIGNER,,,,
,Foreigners Act 1946,45,21,18,9
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,45,21,18,9
16,FOREST,,,,
,Indian Forest Act 1927,0,0,0,0
,Forest (Conservation) Act 1980,5,0,1,1
,Sub Total,5,0,1,1
