Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 2 8,1010,1338,346,"1942
1420",2288
2,State Highways,265,686,951,268,,1688
3,Other Roads,3 48,1262,1610,339,1923,2262
,TOTAL,941,2958,3899,953,5285,6238
