S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,11,7,
76,KSRP Training Munirabad,14,12,2,
77,PDMS Yelahanka,29,10,19,
78,PTC Gulbarga,45,0,45,
79,PTS Aimangala,19,1,18,
80,PTS Dharwad,19,2,17,
81,PTS Hassan,20,2,18,
82,PTS Kaduru,16,2,14,
83,PTS Mysuru,21,1,20,
84,PTS Thanisandra,19,1,18,
85,RFSL Ballari,5,3,2,
86,RFSL Belgaum,10,1,9,
87,RFSL Davanagere,9,3,6,
88,RFSL Gulbarga,7,0,7,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,9,0,9,
91,RFSL Mysore,8,0,8,
92,SCRB,42,34,8,
93,Southern Range,7,3,4,
94,Special Task Force,8,0,8,
95,State Wireless,82,24,58,
96,TTI Bangalore,5,3,2,
97,Western Range,3,1,2,
,Grand Total,12772,4990,7782,
