S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,165,142,23,
2,Ballari,179,98,81,
3,Belagavi City,236,223,13,
4,Belagavi Dist,274,211,63,
5,Bengaluru City,"3,180","2,806",374,
6,Bengaluru Dist,223,102,121,
7,Bengaluru South,161,95,66,
8,Bidar,181,131,50,
9,Chamarajanagar,102,73,29,
10,Chickballapura,127,118,9,
11,Chikkamagaluru,186,110,76,
12,Chitradurga,176,75,101,
13,Coastal Security Police,55,13,42,
14,Dakshina Kannada,153,139,14,
15,Davanagere,170,137,33,
16,Dharwad,100,93,7,
17,Gadag,109,76,33,
18,Hassan,184,157,27,
19,Haveri,162,127,35,
20,Hubballi Dharwad City,189,122,67,
21,K.G.F,65,39,26,
22,Kalaburagi,219,117,102,
23,Kalaburagi City,183,109,74,
24,Karnataka Railways,93,74,19,
25,Kodagu,143,78,65,
26,Kolar,161,118,43,
27,Koppal,138,138,0,
28,Mandya,187,116,71,
29,Mangaluru City,205,123,82,
30,Mysuru City,204,93,111,
31,Mysuru Dist,156,83,73,
32,Raichur,185,133,52,
33,Shivamogga,183,166,17,
34,Tumakuru,247,96,151,
35,Udupi,135,118,17,
,,,,,
