S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,18,0,
76,KSRP Training Munirabad,15,15,0,
77,PDMS Yelahanka,28,28,0,
78,PTC Gulbarga,35,33,2,
79,PTS Aimangala,18,6,12,
80,PTS Dharwad,19,9,10,
81,PTS Hassan,20,7,13,
82,PTS Kaduru,15,15,0,
83,PTS Mysuru,21,21,0,
84,PTS Thanisandra,19,0,19,
85,RFSL Ballari,4,0,4,
86,RFSL Belgaum,9,5,4,
87,RFSL Davanagere,8,3,5,
88,RFSL Gulbarga,8,0,8,
89,RFSL Hubballi,1,1,0,
90,RFSL Mangalore,12,3,9,
91,RFSL Mysore,11,6,5,
92,SCRB,49,27,22,
93,Southern Range,6,6,0,
94,Special Task Force,7,0,7,
95,State Wireless,78,77,1,
96,TTI Bangalore,1,1,0,
97,Western Range,2,2,0,
,Grand Total,12697,10930,1767,
