S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Khanapur,19,17,2,
76,KSRP PTS BELAGAVI,18,18,0,
77,KSRP Training Munirabad,14,13,1,
78,PDMS Yelahanka,28,16,12,
79,PTC Gulbarga,43,21,22,
80,PTS Aimangala,19,12,7,
81,PTS Dharwad,20,18,2,
82,PTS Hassan,20,0,20,
83,PTS Kaduru,16,16,0,
84,PTS Mysuru,21,21,0,
85,PTS Thanisandra,19,0,19,
86,RFSL Ballari,6,3,3,
87,RFSL Belgaum,9,0,9,
88,RFSL Davanagere,9,9,0,
89,RFSL Gulbarga,6,5,1,
90,RFSL Hubballi,5,0,5,
91,RFSL Mangalore,12,1,11,
92,RFSL Mysore,7,6,1,
93,SCRB,42,30,12,
94,Southern Range,7,6,1,
95,Special Task Force,8,0,8,
96,State Wireless,85,85,0,
97,TTI Bangalore,5,4,1,
98,Western Range,2,1,1,
,Grand Total,13324,10905,2419,
