Aadhaar e-Sign details of Chargesheet for the Month of April 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Gadag District,82,81,98.78
2,Mysuru City,148,142,95.95
3,Chikkamagaluru District,151,142,94.04
4,Mangalore COP,110,103,93.64
5,Koppal District,63,58,92.06
6,Ballari District,106,96,90.57
7,Dharwad District,93,84,90.32
8,Udupi District,76,65,85.53
9,Vijayanagara District,109,90,82.57
10,Dakshina Kannada District,59,48,81.36
11,Mandya District,278,225,80.94
12,Bengaluru District,312,239,76.60
13,Uttara Kannada District,104,77,74.04
14,Chamarajanagar District,116,85,73.28
15,Hubballi Dharwad City,68,45,66.18
16,Belagavi District,120,79,65.83
17,Belagavi City,29,18,62.07
18,Haveri District,74,45,60.81
19,Yadgir District,66,40,60.61
20,Bagalkot District,44,26,59.09
21,Kalaburagi City,35,20,57.14
22,K.G.F District,27,15,55.56
23,Bengaluru City,1102,612,55.54
24,Vijayapur District,115,63,54.78
25,Chitradurga District,90,48,53.33
26,KODAGU(Madikeri) District,64,34,53.13
27,Mysuru District,143,75,52.45
28,Tumakuru District,295,149,50.51
29,Shivamogga District,136,59,43.38
30,Davanagere District,223,96,43.05
31,Hassan District,181,67,37.02
32,Kolar District,51,16,31.37
33,Raichur District,249,61,24.50
34,Bidar District,95,19,20.00
35,SP Railways,6,1,16.67
36,Kalaburagi District,55,4,7.27
37,Ramanagara District,59,4,6.78
38,Chickballapura District,104,4,3.85
Total,,5238,3135,59.85
