"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - December - 2025,,,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The district wise details of
received, disposed and overdue status of services for December 2025 as on 31.12.2025 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.12.2025",,
1,BELAGAVI CITY,3791,4507,25,,
2,BENGALURU CITY,41542,45202,236,,
3,HUBLI-DHARWAD CITY,1201,1278,92,,
4,KALABURAGI CITY,3262,1797,4,,
5,MANGALURU CITY,1801,1827,70,,
6,MYSURU CITY,3895,3985,16,,
7,BAGALKOT DISTRICT,1652,1728,14,,
8,BALLARI DISTRICT,2906,3063,31,,
9,BELAGAVI DISTRICT,1447,1493,53,,
10,BENGALURU RURAL DISTRICT,2172,2073,88,,
11,BIDAR DISTRICT,1399,1344,81,,
12,CHAMARAJANAGAR DISTRICT,1517,1503,10,,
13,CHIKKABALLAPURA DISTRICT,1706,1784,6,,
14,CHIKKAMAGALURU DISTRICT,2247,2281,1,,
15,CHITRADURGA DISTRICT,2182,2183,74,EEExxxppitoo,rrtt ttoo PExDcFel
16,DAKSHINA KANNADA DISTRICT,1324,1381,32,,
17,DAVANAGERE DISTRICT,2078,2068,43,,
18,DHARWAD DISTRICT,1127,1239,24,,
19,GADAG DISTRICT,623,699,2,,
20,HASSAN DISTRICT,3308,3020,14,,
21,HAVERI DISTRICT,1323,1344,26,,
22,KALABURAGI DISTRICT,567,570,11,,
23,KODAGU DISTRICT,1082,1096,2,,
24,KOLAR DISTRICT,672,721,27,,
25,KGF,1742,1802,2,,
26,KOPPAL DISTRICT,897,983,0,,
27,MANDYA DISTRICT,2952,3059,14,,
28,MYSURU DISTRICT,2246,2377,6,,
29,RAICHUR DISTRICT,1288,1284,9,,
30,BENGALURU SOUTH DISTRICT,2558,2532,11,,
31,SHIVAMOGGA DISTRICT,3118,2965,22,,
32,TUMAKURU DISTRICT,3631,3704,24,,
33,UDUPI DISTRICT,2349,2333,42,,
34,UTTARA KANNADA DISTRICT,2820,2839,18,EEExxxppitoo,rrtt ttoo PExDcFel
35,VIJAYANAGARA DISTRICT,1109,1170,8,,
36,VIJAYAPURA DISTRICT,2758,2410,13,,
37,YADGIR DISTRICT,803,868,19,,
,Total,113095,116512,1170,,
