Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,912,79,84,81
,On Highways,0,0,0,0
,In Trains,1,0,0,0
,At Banks,3,1,0,1
,At Commercial Places / Establishments,29,5,0,1
,In Other Places,64,7,7,5
,Temple Theft,23,0,9,1
,Sub Total,1032,92,100,89
,Total Burglary (Burglary Day + Burglary Night),5016,479,488,421
11,THEFT (Sec.379 to 389 IPC),,,,
,At ATM,12,1,1,1
,Attempt to commit,43,7,0,2
,Government Office,10,0,3,4
,In Running Bus,65,0,18,18
,Of Automobiles - Of Tractors,75,12,10,6
,Of Mines,26,1,2,5
,Of Sand,1138,96,70,86
,Of Snatching,180,0,44,26
,Communication And Elec. Wire,252,21,28,30
,Of Cattle,472,29,53,31
,Of Cycle,91,12,5,6
,Of Automobiles - Of Lorries/Trucks,77,9,4,1
,Of Automobiles - Of Buses,8,2,0,0
,Of Automobiles - Of Cars / Jeeps,227,23,20,22
,Of Automobiles - Of Two Wheelers,10029,1037,787,731
,Of Automobies - of Three Wheelers,266,21,18,17
,Of Accessories of Motor Vehicle,293,26,25,19
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",1192,126,82,72
,Govt. Vehicle,3,0,0,0
,Of Fire Arms,9,0,4,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,5,1,0,0
,Of Cultural - Painting,1,0,0,0
,Of Cultrual - Others,220,33,13,23
,Cash,534,57,42,48
,Jewellery,1513,148,150,159
,Other Items Not Included Above,1642,218,133,121
,In Running Train,57,5,8,18
,Extortion,251,17,30,17
,House Theft,1782,169,171,151
,Servant Theft,486,37,47,51
,Sub Total,20959,2108,1768,1665
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,878,77,52,57
,Employee - Govt.,2,0,1,1
,Labour - Private Sector,3,1,0,1
,Labour - Public Sector,1,0,0,0
,Linguistic,2,1,0,0
,Political,17,1,1,2
,Regional,5,0,0,0
,Sectarian,0,0,0,0
,Students,6,0,1,0
,Tribal,0,0,0,0
,Due to Village Disputes,24,3,2,1
,Communal,21,1,1,0
,Industrial,3,0,0,0
,Caste,7,0,0,2
,Agrarian,1,0,0,0
,Others,2206,209,141,155
,Sub Total,3176,293,199,219
