Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,580,78,124,121
,On Highways,1,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,26,2,4,4
,In Other Places,31,4,4,9
,Temple Theft,18,1,3,2
,Sub Total,656,85,135,136
,Total Burglary (Burglary Day + Burglary Night),3283,473,576,606
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,731,87,195,111
,Attempt to commit,32,3,11,6
,At ATM,4,1,0,1
,Of Automobiles - Of Tractors,103,11,32,10
,Communication And Elec. Wire,139,18,29,23
,Of Cattle,204,49,37,52
,Of Cycle,65,9,9,20
,Of Automobiles - Of Lorries/Trucks,88,11,19,17
,Of Automobiles - Of Buses,6,1,2,0
,Of Automobiles - Of Cars / Jeeps,155,29,29,37
,Of Automobiles - Of Two Wheelers,6733,1066,1182,1365
,Of Automobies - of Three Wheelers,150,32,24,35
,Of Accessories of Motor Vehicle,134,27,23,27
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",970,153,149,254
,Of Fire Arms,5,1,1,0
,Of Explosives,1,1,0,0
,Of Cultural - Idols,3,0,2,0
,Of Cultural - Painting,1,0,0,0
,Of Cultrual - Others,138,25,24,26
,Cash,371,51,62,79
,Jewellery,777,54,123,149
,Other Items Not Included Above,1019,160,165,254
,In Running Train,37,1,6,2
,Extortion,128,14,27,29
,House Theft,1169,120,230,229
,Servant Theft,229,31,39,48
,Sub Total,13392,1955,2420,2774
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,667,95,125,111
,Employee - Govt.,1,0,0,0
,Labour - Private Sector,2,1,0,0
,Labour - Public Sector,2,0,0,1
,Linguistic,2,0,0,0
,Political,65,6,3,3
,Regional,3,1,1,0
,Sectarian,0,0,0,0
,Students,2,2,1,0
,Tribal,1,0,0,0
,Due to Village Disputes,11,1,1,1
,Communal,4,3,3,1
,Industrial,3,0,1,0
,Caste,4,2,0,0
,Agrarian,2,1,0,0
,Others,1492,179,237,195
,Sub Total,2261,291,372,312
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",37,3,4,3
15,CRIMINAL BREACH OF TRUST,279,33,48,55
