DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF MARCH - 2025 (AS ON 01/04/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","City
d
a
w
ar
h
D
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
ar
ag
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,3,3,3,5,12,6,4,2,0,2,1,0,2,1,0,0,6,2,2,2,4,2,3,4,0,2,0,2,5,5,2,1,3,0,2,0,6,3,100
2,DACOITY,0,1,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,13
3,ROBBERY,0,0,2,1,19,3,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,3,0,2,5,3,1,0,1,1,0,53
3a,CHAIN SNATCHING,0,0,0,0,8,4,0,1,3,0,0,0,2,0,0,5,0,0,0,0,0,2,0,2,0,1,1,3,0,0,3,1,1,2,1,0,0,0,40
4a,BURGLARY - DAY,0,4,2,0,21,2,5,0,1,2,1,2,2,3,3,3,1,0,0,4,1,0,3,0,0,6,0,0,3,1,3,3,2,0,0,1,1,1,81
4b,BURGLARY - NIGHT,3,6,4,9,43,23,5,6,8,3,6,2,13,3,3,6,8,4,5,18,8,0,3,3,1,10,4,6,13,4,6,12,15,6,5,6,4,5,289
5,THEFT,22,16,20,30,661,130,34,17,18,27,22,8,41,6,13,39,48,6,2,33,27,56,10,19,15,28,18,24,26,73,44,50,54,28,19,23,28,14,1749
5a,SNATCHING,0,0,2,0,61,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69
6,RIOTS,11,8,5,38,6,5,10,5,17,5,16,0,19,3,2,1,18,0,1,8,4,0,0,10,12,1,2,3,10,11,1,8,4,6,9,12,17,7,295
7,CASES OF HURT,11,22,15,42,372,51,51,47,36,47,55,10,40,5,7,80,20,8,19,36,21,0,27,28,10,48,15,30,66,31,36,85,73,17,36,32,41,12,1582
8,Spl & Local laws,120,178,41,204,1463,164,207,96,269,88,273,41,182,54,204,122,107,97,47,112,88,6,77,29,119,102,137,41,89,98,107,180,331,48,89,67,235,82,5994
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",0,1,0,6,31,3,1,1,2,0,1,0,3,0,2,1,1,3,1,1,0,0,3,2,2,2,4,1,0,7,4,2,2,1,4,2,1,1,96
9b,DOWRY DEATHS,1,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,10
10,POCSO,5,8,3,17,31,9,5,5,19,15,11,6,4,3,3,11,9,3,4,14,3,0,10,3,5,17,11,5,23,3,7,10,16,5,6,7,11,5,332
11,SC ST & POA Act,5,2,3,15,15,6,7,4,6,5,4,1,9,5,2,6,5,6,2,5,8,0,2,3,4,4,3,2,1,8,7,10,4,3,5,1,13,4,195
12a,107 Cr.P.C.,207,41,72,309,156,12,99,30,23,248,98,237,308,95,188,53,46,8,13,94,68,1,174,39,501,18,81,13,82,57,20,70,85,48,228,216,101,50,4189
12b,109 Cr.P.C.,9,6,3,12,143,11,3,5,2,11,9,0,8,4,11,19,4,7,2,6,3,32,5,14,5,4,0,2,6,3,2,6,101,6,7,8,27,6,512
12c,110 Cr.P.C.,14,2,5,36,625,20,15,0,23,53,14,115,2,9,12,195,8,35,27,4,4,1,40,28,3,363,31,110,5,6,92,34,233,230,67,94,84,241,2880
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",3,9,8,6,916,50,0,3,17,4,6,13,11,2,9,3,6,21,5,4,6,0,6,4,0,9,7,8,8,0,16,8,22,8,4,2,49,1,1254
14a,Cr. Br. of Trust,1,0,0,1,32,4,0,0,1,0,1,0,1,0,1,1,0,5,0,0,0,0,0,2,2,0,1,1,0,0,2,1,2,0,1,1,1,0,62
14b,CHEATING,11,3,5,15,220,45,1,1,9,3,7,1,7,1,4,17,7,4,5,7,2,0,5,7,0,9,7,13,7,10,13,17,15,8,10,8,10,4,518
14c,COUNTERFEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15a,MMDR,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,13
16,"Motor vehicles
Theft Cases",11,8,12,16,367,74,17,8,10,11,12,5,22,2,9,15,21,3,2,7,16,3,0,14,6,13,5,15,9,10,24,21,22,7,4,15,14,1,831
17,NDPS Cases,7,5,14,9,40,21,3,6,5,14,6,2,25,3,1,16,3,9,5,1,30,5,12,4,4,5,79,1,2,1,9,37,24,8,6,8,1,1,432
