Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
36,"CYBER CRIME (INFORMATION TECHNOLOGY
ACT)",,,,
,"Information Technology Act 2000, 2009",78,1967,11,6
,CSAM (Child Pornography). Cyber Tip Line,16,0,4,0
,Online Money Transfer,778,13,107,143
,Credit Card Fraud,432,8,72,55
,Loan App,117,2,15,13
,"Ransomeware Attack, Installing Spyware &
Troman, Using Other Malware & Viruses to infect
degital serv",3,0,0,0
,"Gifts, iPhone & Lottery Fraud",81,3,12,9
,Deep Fake/Deep Nudes,19,0,1,3
,"Investment Fraud (Part Time Job, Task, Review)",1748,17,242,228
,Card Skimming,5,0,0,0
,Job Fraud,404,5,58,66
,Hacking of Accounts & Ids,103,2,20,13
,Business Fraud,92,1,11,22
,Phishing (Taking Password & Information),27,0,3,1
,Email Spoofing / Fraud,28,0,2,6
,SIM card Swapping / SIM Jacking / SIM Cloning,10,1,1,5
,"Social Media Cases
(Instagram/Facebook/Whatsapp/X /Telegram etc)",325,10,46,62
,"Crypto Currency, Bitcoin, etc.",53,0,6,2
,Remote Access Fraud (Any Desk/ Team Viewer),5,0,1,1
,OLX Fraud,115,1,10,21
,Data Theft,38,0,3,8
,Fedex,28,3,3,1
,Matrimony Fraud,67,1,10,13
,"OTP Frauds (KYC Update, Apk Link)",437,5,60,98
,Sextortion and Revenge Porn,65,0,11,8
,Advertising Frauds,29,0,3,6
,Investment Fraud (Trading & Share Trading),2009,15,294,270
,Fake Customer Care,186,1,24,33
,ATM Fraud,13,0,1,3
,Digital Arrest,207,0,21,39
,AEPS (Aadhaar),1,0,0,1
,Others,1101,62,196,181
,Sub Total,8620,2117,1248,1317
37,NATIONAL SECURITY ACT,0,0,0,0
38,POCSO,,,,
,Custodial Rape,3,0,0,1
,Gang Rape,10,3,0,1
,Rape with Murder,1,0,0,0
,Rape,1822,265,239,243
,Others,711,67,108,92
,Sub Total,2547,335,347,337
39,Aadhar Act,,,,
,Offence by Company,0,0,0,0
,Impersonation,0,0,0,0
,Offence by Individual,0,0,0,0
,Sub Total,0,0,0,0
,Total (Item 1 to 36),37629,5007,6848,5229
