S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Khanapur,19,11,8,
76,KSRP PTS BELAGAVI,18,18,0,
77,KSRP Training Munirabad,14,12,2,
78,PDMS Yelahanka,32,11,21,
79,PTC Gulbarga,44,12,32,
80,PTS Aimangala,19,3,16,
81,PTS Dharwad,21,12,9,
82,PTS Hassan,20,1,19,
83,PTS Kaduru,16,3,13,
84,PTS Mysuru,21,9,12,
85,PTS Thanisandra,22,15,7,
86,RFSL Ballari,7,5,2,
87,RFSL Belgaum,10,0,10,
88,RFSL Davanagere,9,7,2,
89,RFSL Gulbarga,7,2,5,
90,RFSL Hubballi,5,0,5,
91,RFSL Mangalore,12,3,9,
92,RFSL Mysore,8,4,4,
93,SCRB,48,28,20,
94,Southern Range,8,2,6,
95,Special Task Force,8,0,8,
96,State Wireless,95,38,57,
97,TTI Bangalore,6,1,5,
98,Western Range,2,0,2,
,Grand Total,13662,7738,5924,
