Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot,261,261,100.00
2,Belagavi Dist,678,671,98.97
3,Dharwad,184,181,98.37
4,Vijayapur,454,435,95.81
5,Udupi,276,264,95.65
6,Chamarajanagar,267,251,94.01
7,Uttara Kannada,361,337,93.35
8,Ballari,253,232,91.70
9,Hubballi Dharwad City,268,245,91.42
10,Haveri,312,283,90.71
11,Dakshina Kannada,207,180,86.96
12,Koppal,262,225,85.88
13,Gadag,264,221,83.71
14,Chickballapura,467,283,60.60
15,Davanagere,540,228,42.22
16,Tumakuru,852,236,27.70
17,Kalaburagi City,280,75,26.79
18,Mysuru Dist,493,90,18.26
19,Chikkamagaluru,367,65,17.71
20,Kodagu,215,38,17.67
21,Bidar,449,74,16.48
22,Mangaluru City,334,52,15.57
23,Mysuru City,304,41,13.49
24,Shivamogga,630,80,12.70
25,Bengaluru City,7118,888,12.48
26,Belagavi City,232,25,10.78
27,Mandya,586,63,10.75
28,Raichur,518,55,10.62
29,Hassan,609,60,9.85
30,Karnataka Railways,78,6,7.69
31,Kalaburagi,422,27,6.40
32,Chitradurga,592,19,3.21
33,K.G.F,140,4,2.86
34,Bengaluru Dist,996,24,2.41
35,Yadgir,234,1,0.43
36,Kolar,382,0,0.00
37,Ramanagara,499,0,0.00
38,Vijayanagara,371,0,0.00
TOTAL,,21755,6220,28.59
