S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,203,119,84,
37,Vijayanagara,144,127,17,
38,Vijayapura,191,178,13,
39,Yadgir,157,127,30,
40,Forest Cell,39,28,11,
41,CID,233,31,202,
42,ISD Bengaluru,88,20,68,
43,State INT,755,232,523,
44,APTS Yelahanka,20,7,13,
45,Battalion I - Bangalore,65,55,10,
46,Battalion II - Belgaum,39,39,0,
47,Battalion III - Bangalore,60,59,1,
48,Battalion IV - Bangalore,55,53,2,
49,Battalion IX - Bangalore,45,45,0,
50,Battalion V - Mysore,42,42,0,
51,Battalion VI - Gulbarga,34,30,4,
52,Battalion VII - Mangalore,35,32,3,
53,Battalion VIII - Shimoga,38,36,2,
54,Battalion X - Haveri,42,42,0,
55,Battalion XI - Hassan,38,36,2,
56,Battalion XII Tumakuru,47,47,0,
57,Central Range,2,0,2,
58,Centre for Counter Terrorism,62,0,62,
59,Chief Office,132,1,131,
60,COMMANDANT MOUNTED,KARP 22,13,9,
61,DCRE Headquarters Bengalu,ru 44,0,44,
62,DCRE HQ PS Bengaluru,6,1,5,
63,Eastern Range,3,2,1,
64,FPB Unit,11,1,10,
65,FSL Madiwala,27,3,24,
66,I.R.B. Vijayapura,46,40,6,
67,IGP TRAINING,11,0,11,
68,IIIrd BN KSISF,38,11,27,
69,IInd BN KSISF,38,23,15,
70,IRB Munirabad,41,40,1,
71,ISD,177,138,39,
72,Ist BN KSISF,52,3,49,
73,Kalaburgi Range,7,3,4,
74,KPA Mysore,37,6,31,
,,,,,
