Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,5,Belagavi District,3
Chamarajanagar District,1,Davanagere District,1
Hassan District,1,Haveri District,1
Shivamogga District,1,Tumakuru District,1
Uttara Kannada District,1,,
