S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,166,134,32,
2,Ballari,180,96,84,
3,Belagavi City,236,229,7,
4,Belagavi Dist,273,180,93,
5,Bengaluru City,"3,128","2,581",547,
6,Bengaluru Dist,222,79,143,
7,Bengaluru South,162,82,80,
8,Bidar,181,124,57,
9,Chamarajanagar,103,70,33,
10,Chickballapura,125,122,3,
11,Chikkamagaluru,186,157,29,
12,Chitradurga,176,80,96,
13,Coastal Security Police,55,15,40,
14,Dakshina Kannada,154,141,13,
15,Davanagere,170,112,58,
16,Dharwad,100,93,7,
17,Gadag,109,74,35,
18,Hassan,183,107,76,
19,Haveri,162,126,36,
20,Hubballi Dharwad City,188,132,56,
21,K.G.F,67,36,31,
22,Kalaburagi,216,104,112,
23,Kalaburagi City,177,118,59,
24,Karnataka Railways,93,85,8,
25,Kodagu,143,112,31,
26,Kolar,160,96,64,
27,Koppal,138,131,7,
28,Mandya,188,113,75,
29,Mangaluru City,205,110,95,
30,Mysuru City,204,97,107,
31,Mysuru Dist,156,81,75,
32,Raichur,186,145,41,
33,Shivamogga,183,157,26,
34,Tumakuru,252,101,151,
35,Udupi,131,111,20,
,,,,,
