Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 2 2,957,1279,355,1745,2100
2,State Highways,258,651,909,298,1247,1545
3,Other Roads,3 90,1200,1590,400,1712,2112
,TOTAL,970,2808,3778,1053,4704,5757
