S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,230,226,4,
37,Vijayanagara,139,138,1,
38,Vijayapur,238,238,0,
39,Yadgir,145,96,49,
40,Forest Cell,48,39,9,
41,CID,273,164,109,
42,ISD Bengaluru,84,59,25,
43,State INT,834,639,195,
44,APTS Yelahanka,19,8,11,
45,Ballari Range,1,1,0,
46,Battalion I - Bangalore,62,49,13,
47,Battalion II - Belgaum,39,9,30,
48,Battalion III - Bangalore,63,55,8,
49,Battalion IV - Bangalore,48,0,48,
50,Battalion IX - Bangalore,40,38,2,
51,Battalion V - Mysore,47,45,2,
52,Battalion VI - Gulbarga,40,39,1,
53,Battalion VII - Mangalore,39,37,2,
54,Battalion VIII - Shimoga,44,32,12,
55,Battalion X - Haveri,47,38,9,
56,Battalion XI - Hassan,52,42,10,
57,Battalion XII Tumakuru,48,48,0,
58,Central Range,5,1,4,
59,Centre for Counter Terrorism,47,27,20,
60,Chief Office,142,39,103,
61,COMMANDANT MOUNTED,KARP 25,17,8,
62,Eastern Range,3,3,0,
63,FPB Unit,19,0,19,
64,FSL Madiwala,20,12,8,
65,I.R.B. Vijayapura,47,24,23,
66,IGP Railways,3,3,0,
67,IGP TRAINING,8,1,7,
68,IIIrd BN KSISF,40,23,17,
69,IInd BN KSISF,36,36,0,
70,IRB Munirabad,52,50,2,
71,ISD,156,116,40,
72,Ist BN KSISF,55,54,1,
73,Kalaburgi Range,8,7,1,
74,KPA Mysore,34,34,0,
,,,,,
