Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
28,"CRIMINAL TRESPASS (Sec.447 to 452
IPC/329(3) TO 333 BNS)",,,,
,Attempt to Commit,1,1,0,1
,Club,0,0,0,0
,Hostel,1,0,1,1
,Hotel,1,1,0,1
,House,64,54,55,64
,Land,145,131,128,145
,Office,4,3,7,4
,Prohibited Places,1,3,2,1
,Religious Place,1,2,2,1
,Restricted Area,0,2,1,0
,Others,19,23,18,19
,Sub Total,237,220,214,237
29,"CRUELTY BY HUSBAND (Sec. 498(A) IPC/85
BNS)",,,,
,Husband,98,87,79,98
,Husband And Relative(S) in Law,90,109,103,90
,Relative(S) in Law,2,1,1,2
,Dowry Harassment,62,27,29,62
,Prevention of Gaming,0,0,0,0
,Sub Total,252,224,212,252
30,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),,,,
,By Husband,0,0,1,0
,By Husband And Relatives In Law,5,2,3,5
,By Relatives in Law,0,0,0,0
,By Burning,0,0,0,0
,By Hanging,6,3,1,6
,By Other Means,0,0,1,0
,Sub Total,11,5,6,11
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC/106 BNS)",,,,
,Electrocution,1,2,1,1
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,0,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,0,1,0,0
,Caused By Animal,0,0,0,0
,Death Due to Other Cause,6,9,8,6
,Electrocution Accident,1,3,4,1
,Explosion Accident,0,0,0,0
,Fire accident,0,1,0,0
,Gas Leakage Accident,0,0,0,0
,Improper Infrastucture In Construction,7,7,14,7
,Improper Medical Treatment,0,1,0,0
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,0,0,0,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),0,0,0,0
,Inflammable Substance,0,0,0,0
,Mine Accident,0,0,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,0,0,0,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,2,4,8,2
,Sub Total,17,28,35,17
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC/106 BNS)",,,,
,National Highways,305,324,341,305
,State Highways,261,307,332,261
,Other Roads,361,419,378,361
,Other Places,8,21,15,8
,Sub Total,935,1071,1066,935
