S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,168,168,0,
2,Ballari,168,167,1,
3,Belagavi City,212,211,1,
4,Belagavi Dist,284,283,1,
5,Bengaluru City,3142,2523,619,
6,Bengaluru Dist,208,42,166,
7,Bidar,225,220,5,
8,Chamarajanagar,132,132,0,
9,Chickballapura,136,136,0,
10,Chikkamagaluru,246,246,0,
11,Chitradurga,195,146,49,
12,Coastal Security Police,42,31,11,
13,Dakshina Kannada,178,176,2,
14,Davanagere,219,208,11,
15,Dharwad,120,117,3,
16,Gadag,164,119,45,
17,Hassan,214,214,0,
18,Haveri,146,146,0,
19,Hubballi Dharwad City,253,242,11,
20,K.G.F,99,99,0,
21,Kalaburagi,204,145,59,
22,Kalaburagi City,160,154,6,
23,Karnataka Railways,89,87,2,
24,Kodagu,145,144,1,
25,Kolar,176,145,31,
26,Koppal,178,178,0,
27,Mandya,242,242,0,
28,Mangaluru City,229,202,27,
29,Mysuru City,247,204,43,
30,Mysuru Dist,220,220,0,
31,Raichur,177,177,0,
32,Ramanagara,203,158,45,
33,Shivamogga,240,240,0,
34,Tumakuru,298,227,71,
35,Udupi,208,207,1,
,,,,,
