S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Khanapur,21,21,0,
76,KSRP PTS BELAGAVI,18,18,0,
77,KSRP Training Munirabad,15,9,6,
78,PDMS Yelahanka,28,28,0,
79,PTC Gulbarga,37,32,5,
80,PTS Aimangala,18,10,8,
81,PTS Dharwad,19,4,15,
82,PTS Hassan,19,0,19,
83,PTS Kaduru,15,14,1,
84,PTS Mysuru,21,19,2,
85,PTS Thanisandra,19,0,19,
86,RFSL Ballari,4,2,2,
87,RFSL Belgaum,9,4,5,
88,RFSL Davanagere,9,8,1,
89,RFSL Gulbarga,8,3,5,
90,RFSL Hubballi,6,1,5,
91,RFSL Mangalore,12,5,7,
92,RFSL Mysore,9,6,3,
93,SCRB,49,49,0,
94,Southern Range,8,7,1,
95,Special Task Force,8,0,8,
96,State Wireless,91,91,0,
97,TTI Bangalore,6,5,1,
98,Western Range,2,1,1,
,Grand Total,13042,10292,2750,
