Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 5 2,776,1028,260,1389,1649
2,State Highways,206,526,732,289,1005,1294
3,Other Roads,2 89,1160,1449,206,1679,1885
,TOTAL,747,2462,3209,755,4073,4828
