Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,16,0,2,1
,1.3 other Cases of Rape,640,55,43,40
,Sub Total,656,55,45,41
2,Outraging modesty (Molestation) (sec.354 IPC),5840,425,464,521
3,Kidnapping & Abduction of Women: (Sec.366 IPC),124,7,10,11
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",403,21,30,43
5,Murder for Dowry - by burning (Sec.302 IPC),1,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",7,0,0,3
7,Murder for other reasons,372,32,28,25
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",2,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",20,1,3,2
10,Attempt to Commit murder for other reasons,978,50,80,80
11,"Dowry Death-by burning
(Sec.304-B IPC)",1,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),115,6,11,8
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2830,207,250,237
14,Abetment of Suicide (Sec.306 IPC),181,10,16,15
15,Immoral Traffic (prevention) Act.,316,19,26,18
16,"Indecent Representation of Women(Prohibition) Act-
1986",1,0,0,0
17,Pornography,4,0,0,2
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",146,8,9,12
19,Offences related to Marriage,28,4,2,1
20,Cyber Crimes,4345,531,310,322
,Total (Item 1 to 20),16370,1376,1284,1341
