S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,181,171,10,
2,Ballari,159,159,0,
3,Belagavi City,227,226,1,
4,Belagavi Dist,280,260,20,
5,Bengaluru City,"3,065","2,238",827,
6,Bengaluru Dist,216,70,146,
7,Bidar,225,207,18,
8,Chamarajanagar,129,129,0,
9,Chickballapura,132,132,0,
10,Chikkamagaluru,191,188,3,
11,Chitradurga,198,159,39,
12,Coastal Security Police,55,33,22,
13,Dakshina Kannada,169,169,0,
14,Davanagere,213,213,0,
15,Dharwad,118,118,0,
16,Gadag,174,165,9,
17,Hassan,202,202,0,
18,Haveri,145,145,0,
19,Hubballi Dharwad City,282,231,51,
20,K.G.F,102,91,11,
21,Kalaburagi,218,161,57,
22,Kalaburagi City,176,165,11,
23,Karnataka Railways,94,89,5,
24,Kodagu,144,144,0,
25,Kolar,185,184,1,
26,Koppal,166,166,0,
27,Mandya,228,224,4,
28,Mangaluru City,242,242,0,
29,Mysuru City,283,178,105,
30,Mysuru Dist,205,205,0,
31,Raichur,177,177,0,
32,Ramanagara,200,170,30,
33,Shivamogga,226,225,1,
34,Tumakuru,326,283,43,
35,Udupi,218,214,4,
,,,,,
