Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,180,67,90,90
,On Highways,0,0,0,0
,In Trains,1,0,1,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,7,4,2,5
,In Other Places,12,4,8,4
,Temple Theft,4,2,3,1
,Sub Total,204,77,104,100
,Total Burglary (Burglary Day + Burglary Night),960,453,512,448
11,THEFT (Sec.379 to 389 IPC),,,,
,Of Sand,212,103,89,123
,Attempt to commit,6,7,4,2
,Of Automobiles - Of Tractors,17,5,7,10
,At ATM,2,0,1,1
,Communication And Elec. Wire,33,15,16,17
,Of Cattle,80,23,36,44
,Of Cycle,13,5,7,6
,Of Automobiles - Of Lorries/Trucks,14,11,7,7
,Of Automobiles - Of Buses,3,2,1,2
,Of Automobiles - Of Cars / Jeeps,62,13,18,44
,Of Automobiles - Of Two Wheelers,1907,810,965,942
,Of Automobies - of Three Wheelers,40,18,20,20
,Of Accessories of Motor Vehicle,57,18,26,31
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",250,114,123,127
,Of Fire Arms,2,0,1,1
,Of Explosives,0,1,0,0
,Of Cultural - Idols,3,0,1,2
,Of Cultural - Painting,0,1,0,0
,Of Cultrual - Others,54,22,32,22
,Cash,109,45,49,60
,Jewellery,275,113,118,157
,Other Items Not Included Above,374,128,198,176
,In Running Train,10,4,5,5
,Extortion,48,19,24,24
,House Theft,299,116,166,133
,Servant Theft,86,25,32,54
,Sub Total,3956,1618,1946,2010
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,169,100,89,80
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,1,1,0,1
,Labour - Public Sector,0,0,0,0
,Linguistic,1,0,1,0
,Political,1,5,0,1
,Regional,2,0,0,2
,Sectarian,0,0,0,0
,Students,4,0,3,1
,Tribal,0,0,0,0
,Due to Village Disputes,6,3,1,5
,Communal,0,0,0,0
,Industrial,1,1,0,1
,Caste,0,2,0,0
,Agrarian,0,0,0,0
,Others,401,187,204,197
,Sub Total,586,299,298,288
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",23,2,15,8
15,CRIMINAL BREACH OF TRUST,103,42,47,56
