S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,230,230,0,
37,Vijayanagara,147,147,0,
38,Vijayapur,228,226,2,
39,Yadgir,144,118,26,
40,Forest Cell,45,11,34,
41,CID,269,129,140,
42,ISD Bengaluru,84,78,6,
43,State INT,840,720,120,
44,APTS Yelahanka,19,12,7,
45,Battalion I - Bangalore,62,58,4,
46,Battalion II - Belgaum,39,16,23,
47,Battalion III - Bangalore,55,52,3,
48,Battalion IV - Bangalore,50,2,48,
49,Battalion IX - Bangalore,38,35,3,
50,Battalion V - Mysore,44,39,5,
51,Battalion VI - Gulbarga,40,37,3,
52,Battalion VII - Mangalore,36,34,2,
53,Battalion VIII - Shimoga,44,32,12,
54,Battalion X - Haveri,46,16,30,
55,Battalion XI - Hassan,52,44,8,
56,Battalion XII Tumakuru,43,41,2,
57,Central Range,5,2,3,
58,Centre for Counter Terrorism,47,24,23,
59,Chief Office,139,34,105,
60,COMMANDANT MOUNTED,KARP 25,19,6,
61,Eastern Range,3,3,0,
62,FPB Unit,19,3,16,
63,FSL Madiwala,20,13,7,
64,I.R.B. Vijayapura,47,26,21,
65,IGP Railways,3,3,0,
66,IGP TRAINING,8,1,7,
67,IIIrd BN KSISF,40,15,25,
68,IInd BN KSISF,36,36,0,
69,IRB Munirabad,52,48,4,
70,ISD,154,123,31,
71,Ist BN KSISF,55,55,0,
72,Kalaburgi Range,7,7,0,
73,KPA Mysore,34,29,5,
74,KSPTS Channapatna,22,22,0,
,,,,,
