Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 2 3,855,1178,375,1434,1809
2,State Highways,285,656,941,310,1299,1609
3,Other Roads,3 52,1321,1673,373,1937,2310
,TOTAL,960,2832,3792,1058,4670,5728
