S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,156,91,65,
2,Ballari,148,128,20,
3,Belagavi City,228,130,98,
4,Belagavi Dist,276,130,146,
5,Bengaluru City,"3,186",984,2202,
6,Bengaluru Dist,241,81,160,
7,Bidar,192,79,113,
8,Chamarajanagar,121,63,58,
9,Chickballapura,132,97,35,
10,Chikkamagaluru,193,84,109,
11,Chitradurga,196,67,129,
12,Coastal Security Police,56,16,40,
13,Dakshina Kannada,162,96,66,
14,Davanagere,198,80,118,
15,Dharwad,110,103,7,
16,Gadag,180,40,140,
17,Hassan,196,75,121,
18,Haveri,164,80,84,
19,Hubballi Dharwad City,247,81,166,
20,K.G.F,83,43,40,
21,Kalaburagi,201,48,153,
22,Kalaburagi City,163,54,109,
23,Karnataka Railways,98,27,71,
24,Kodagu,148,63,85,
25,Kolar,171,149,22,
26,Koppal,156,125,31,
27,Mandya,215,88,127,
28,Mangaluru City,249,85,164,
29,Mysuru City,248,129,119,
30,Mysuru Dist,191,92,99,
31,Raichur,176,120,56,
32,Ramanagara,177,89,88,
33,Shivamogga,207,129,78,
34,Tumakuru,289,88,201,
35,Udupi,144,96,48,
,,,,,
