DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF MAY - 2026 (AS ON 01/06/2026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,2,0,2,3,13,5,4,4,1,1,0,1,0,1,2,1,2,5,2,0,7,2,0,1,1,1,6,0,1,5,2,2,4,1,1,1,7,3,94
2,DACOITY,0,0,0,3,5,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,15
3,ROBBERY,1,0,2,2,28,2,1,0,0,1,0,3,0,1,0,0,2,1,1,0,0,1,1,0,2,0,1,2,0,0,0,4,7,2,0,0,0,0,65
3a,CHAIN SNATCHING,0,0,0,3,9,2,2,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,3,5,0,1,0,0,0,36
4a,BURGLARY - DAY,2,2,5,1,9,0,1,4,1,1,2,0,0,1,1,0,3,2,0,1,0,1,0,3,1,0,1,0,1,4,2,2,2,0,0,1,3,0,57
4b,BURGLARY - NIGHT,11,6,13,21,51,10,9,11,5,0,6,10,10,16,4,12,10,10,5,0,5,5,0,4,4,1,5,0,8,10,7,10,16,5,3,1,12,8,324
5,THEFT,48,42,18,53,679,73,46,16,14,13,24,23,31,45,6,7,25,34,13,7,36,20,37,12,10,21,21,12,20,34,73,47,47,19,12,13,29,12,1692
5a,SNATCHING,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48
6,RIOTS,13,9,8,37,1,5,1,17,1,19,3,24,3,24,10,12,8,18,0,2,19,7,0,0,15,9,5,0,1,13,26,18,3,1,8,7,23,13,383
7,CASES OF HURT,15,18,30,75,345,43,37,79,33,40,63,67,21,32,16,14,86,33,12,11,40,17,0,25,40,14,67,11,22,65,20,84,101,15,42,18,42,17,1710
