Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 8 6,853,1139,324,1402,1726
2,State Highways,222,600,822,235,1107,1342
3,Other Roads,3 04,1253,1557,321,1797,2118
,TOTAL,812,2706,3518,880,4306,5186
