"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(August-2025)","During the current
Year Upto the month
under review","During the month
under review
(August -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3345,23287,1268,12490
2,Mysuru City,189,1446,251,740
3,Hubballi Dharwad City,105,1020,65,845
4,Mangaluru City,198,1517,91,817
5,Belagavi City,129,1110,73,448
6,Kalaburagi City,159,1181,71,756
,Central Range,,,,
1,Bengaluru Dist,508,4255,81,864
2,Bengaluru South,309,2430,91,657
3,Tumakuru,503,3935,151,1871
4,Kolar,173,1475,31,340
5,Chickballapura,197,1724,108,1232
6,K.G.F,66,519,25,246
,Eastern Range,,,,
1,Chitradurga,345,2762,119,1232
2,Davanagere,264,2226,102,1027
3,Shivamogga,355,3268,135,1371
4,Haveri,189,1605,89,766
,Western Range,,,,
1,Dakshina Kannada,171,1183,36,237
2,Udupi,151,1529,65,511
3,Chikkamagaluru,205,1778,99,808
4,Uttara Kannada,164,1579,136,869
,Northern Range,,,,
1,Belagavi Dist,336,2903,173,1299
2,Bagalkot,180,1481,153,878
3,Vijayapur,241,2092,181,1421
4,Dharwad,66,665,68,398
5,Gadag,77,682,122,845
,North Eastern Range,,,,
1,Kalaburagi,196,1825,107,654
2,Bidar,214,2136,70,822
3,Yadgir,119,1081,75,692
,Southern Range,,,,
1,Mysuru Dist,428,3422,72,633
2,Mandya,409,3047,78,786
3,Chamarajanagar,169,1396,65,629
4,Hassan,349,3200,89,1029
5,Kodagu,135,1137,45,441
,Ballari Range,,,,
1,Ballari,151,1258,128,1229
2,Koppal,181,1342,102,803
3,Raichur,200,1971,107,959
4,Vijayanagara,111,1274,77,817
,Karnataka Railways,50,453,13,74
,STATE,11337,91194,4812,42536
