DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JANUARY - 2026 (AS ON 02/02/2026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,3,1,0,6,13,8,2,1,1,2,4,5,2,2,2,0,5,2,3,0,2,1,0,2,4,0,3,0,1,5,4,2,3,0,3,1,5,0,98
2,DACOITY,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,ROBBERY,1,1,0,2,30,7,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,4,0,2,0,0,1,1,2,0,63
3a,CHAIN SNATCHING,0,0,0,2,2,1,1,0,1,3,0,3,1,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,2,2,0,3,1,0,0,0,0,0,29
4a,BURGLARY - DAY,6,3,0,3,15,7,1,1,2,3,3,1,1,0,2,2,6,0,1,2,4,1,0,1,1,2,3,0,0,3,1,1,0,0,3,1,4,1,85
4b,BURGLARY - NIGHT,13,4,14,19,50,29,9,5,3,10,5,4,4,10,2,2,15,7,7,3,15,12,0,1,6,7,17,5,4,20,6,7,13,4,8,3,6,7,356
5,THEFT,20,37,20,78,649,76,32,21,13,17,18,35,15,38,8,7,30,45,17,10,31,13,22,10,16,15,27,19,28,31,107,50,44,16,22,13,28,25,1703
5a,SNATCHING,0,0,1,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
6,RIOTS,4,8,4,45,6,7,6,10,2,13,4,30,6,24,2,12,1,19,0,1,13,1,0,0,13,1,4,0,0,6,12,18,5,1,6,10,13,12,319
7,CASES OF HURT,12,13,11,96,304,46,32,38,26,32,54,52,19,28,8,7,65,13,14,17,38,14,0,29,23,10,58,17,22,74,9,90,60,9,40,12,32,13,1437
8,Spl & Local laws,82,124,73,187,2138,98,63,53,51,147,72,103,39,185,36,107,166,54,57,26,62,98,16,124,33,94,129,82,137,81,209,175,164,48,177,150,144,73,5857
9a,"RAPE (Sec.376,
376(A) to 376 (D)",1,0,0,4,8,2,1,0,1,0,2,2,0,2,1,1,2,1,1,0,1,0,0,0,1,2,3,1,0,1,1,2,1,2,0,0,1,0,45
9b,DOWRY DEATHS,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
10,POCSO,8,5,3,21,45,9,8,1,2,20,11,12,4,5,2,6,14,9,6,2,8,1,1,5,3,5,9,4,1,12,7,22,9,7,6,11,6,6,316
11,SC ST & POA Act,4,6,0,14,20,11,4,3,5,6,4,5,4,8,5,3,6,4,3,0,6,1,1,3,2,6,10,1,1,5,15,20,14,4,4,4,7,4,223
12a,"107 Cr.P.C./126
BNSS",42,20,77,172,32,6,14,28,16,17,71,40,15,45,65,46,48,14,18,7,23,18,0,12,10,57,21,47,11,22,22,23,30,21,87,73,57,34,1361
12b,"109 Cr.P.C/128
BNSS",7,3,7,10,25,3,5,19,6,1,4,3,2,51,3,6,5,4,3,0,6,2,8,0,2,23,3,0,0,6,3,2,18,2,1,3,11,0,257
12c,"110 Cr.P.C/129
BNSS",0,0,10,16,170,1,49,5,9,3,1,1,1,18,3,12,108,2,1,14,6,5,5,0,3,9,0,38,27,0,7,0,52,76,6,3,49,2,712
13,"CYBER CRIME
(INFORMATION",2,13,12,14,861,31,18,2,1,23,8,9,7,6,5,9,8,11,16,5,1,8,0,16,7,3,10,7,21,7,4,19,24,18,10,8,33,1,1258
14a,Cr. Br. of Trust,1,0,1,1,31,2,2,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,3,0,2,1,2,0,0,0,2,0,57
14b,CHEATING,4,5,6,22,165,23,5,3,3,5,4,8,2,8,0,7,17,9,1,2,4,3,1,2,1,3,6,13,4,14,4,9,17,7,2,5,13,4,411
14c,COUNTERFEITING,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,11
16,"Motor vehicles
Theft Cases",7,9,13,41,359,48,16,13,6,7,4,9,1,16,4,3,13,16,8,6,4,9,2,0,9,6,17,7,20,13,12,25,17,0,6,1,13,7,767
17,NDPS Cases,3,1,23,22,841,11,4,1,11,3,9,2,10,37,5,6,12,1,1,1,0,22,14,63,4,4,4,55,93,2,17,41,24,2,31,5,7,5,1397
