Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,3,0,0,0
,Office,9,0,1,1
,Public Conveyance,2,0,0,0
,Public Place,24,5,4,6
,Other Places,32,1,2,10
,Sub Total,70,6,7,17
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,6,2,0,0
,Abetment of Suicide,166,23,23,35
,Other Reasons,191,35,28,25
,Attempt to Commit suicide,79,7,5,12
,Sub Total,442,67,56,72
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,2,0,0,0
,Attempt,0,0,0,0
,Major - Man,3,0,0,0
,Major - Woman,3,0,1,2
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,8,0,1,2
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,12,2,1,4
,To Extort Confession,2,0,0,1
,To Extort Property,11,0,0,1
,To settle Dispute,14,3,3,2
,Others,223,21,33,35
,Sub Total,262,26,37,43
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",29,1,5,4
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,0
,Property,0,1,0,0
,Sub Total,1,1,0,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,3,0,1,0
,Printed Matter,1,0,0,0
,Others,1,0,0,0
,Sub Total,5,0,1,0
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,1015,0,11,2
,Parliament,3,0,0,1
,Other Elected Bodies,30,0,0,0
,Sub Total,1048,0,11,3
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,1,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,1,0,0
