S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,221,221,0,
37,Vijayanagara,138,137,1,
38,Vijayapur,219,219,0,
39,Yadgir,144,96,48,
40,Forest Cell,47,21,26,
41,CID,212,109,103,
42,ISD Bengaluru,73,65,8,
43,State INT,722,467,255,
44,APTS Yelahanka,16,10,6,
45,Battalion I - Bangalore,64,27,37,
46,Battalion II - Belgaum,33,9,24,
47,Battalion III - Bangalore,48,45,3,
48,Battalion IV - Bangalore,42,30,12,
49,Battalion IX - Bangalore,29,28,1,
50,Battalion V - Mysore,36,33,3,
51,Battalion VI - Gulbarga,38,32,6,
52,Battalion VII - Mangalore,33,31,2,
53,Battalion VIII - Shimoga,35,33,2,
54,Battalion X - Haveri,40,20,20,
55,Battalion XI - Hassan,45,45,0,
56,Battalion XII Tumakuru,39,39,0,
57,Central Range,5,3,2,
58,Centre for Counter Terrorism,44,3,41,
59,Chief Office,117,27,90,
60,COMMANDANT MOUNTED,KARP 20,20,0,
61,Eastern Range,3,3,0,
62,FPB Unit,19,1,18,
63,FSL Madiwala,20,16,4,
64,I.R.B. Vijayapura,40,15,25,
65,IGP Railways,3,3,0,
66,IGP TRAINING,8,6,2,
67,IIIrd BN KSISF,27,24,3,
68,IInd BN KSISF,25,24,1,
69,IRB Munirabad,50,47,3,
70,ISD,144,131,13,
71,Ist BN KSISF,43,43,0,
72,Kalaburgi Range,6,2,4,
73,KPA Mysore,29,29,0,
74,KSPTS Channapatna,20,20,0,
,,,,,
