Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 9 4,852,1146,295,1620,1915
2,State Highways,188,548,736,188,998,1186
3,Other Roads,2 91,1171,1462,290,1744,2034
,TOTAL,773,2571,3344,773,4362,5135
