S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Channapatna,23,0,23,
76,KSPTS Khanapur,20,3,17,
77,KSRP PTS BELAGAVI,16,8,8,
78,KSRP Training Munirabad,16,13,3,
79,PDMS Yelahanka,24,4,20,
80,PTC Gulbarga,28,4,24,
81,PTS Aimangala,20,3,17,
82,PTS Dharwad,18,3,15,
83,PTS Hassan,19,0,19,
84,PTS Kaduru,17,1,16,
85,PTS Mysuru,21,1,20,
86,PTS Thanisandra,20,0,20,
87,RFSL Ballari,5,5,0,
88,RFSL Belgaum,10,0,10,
89,RFSL Davanagere,8,6,2,
90,RFSL Gulbarga,7,0,7,
91,RFSL Hubballi,5,1,4,
92,RFSL Mangalore,9,2,7,
93,RFSL Mysore,8,0,8,
94,SCRB,38,11,27,
95,Southern Range,6,1,5,
96,SP DCRE Bengaluru City,1,0,1,
97,SP DCRE Central Range,2,1,1,
98,SP DCRE Eastern Range,2,0,2,
99,SP DCRE Northern Range,3,0,3,
100,SP DCRE Southern Range,1,0,1,
101,SP DCRE Western Range,1,0,1,
102,Special Task Force,2,0,2,
103,State Wireless,83,13,70,
104,TTI Bangalore,3,0,3,
105,Western Range,3,0,3,
,Grand Total,12430,4873,7557,
