Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
16,CHEATING (Sec.417 to 420 IPC),6280,573,660,557
17,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC )",,,,
,"Stock Share, Debentrue Certificate",0,0,0,0
,Usage of Counterfeit Stamp,0,0,0,0
,Of Coins (Sec 231 to 254 IPC),0,0,0,0
,Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
,"Of Currency Notes And Bank Notes (Sec. 489 (A) to
489 (E) IPC)",23,4,1,3
,Of Others,2,0,1,1
,Sub Total,25,4,2,4
18,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",,,,
,Forgery,331,25,38,34
,Organised (Racket),1,0,0,0
,Forgery of Passport,0,0,0,0
,Other Forgery,162,10,14,15
,Sub Total,494,35,52,49
19,"CASES OF HURT (Sec. 323 to 335 IPC except
328, 332, 333)",,,,
,Acid Attack (326(a)),2,0,0,0
,Attempt to Acid Attack (326(b)),1,0,0,0
,Grievous Hurt,1293,99,113,102
,Simple Hurt,14684,1072,1385,1250
,Custodial,1,0,0,0
,Sub Total,15981,1171,1498,1352
20,"ADULTERATION (Sec. 272, 273 to 276 IPC)",,,,
,Attempt to Commit,0,0,0,0
,Alcoholic Drink (Liquor),1,1,0,0
,Cement & Chemical/Fertiliser,0,0,0,0
,Cosmetics,0,0,0,0
,Diesel,0,0,0,0
,Drug/Medicine,1,0,0,0
,Edible Oil,2,0,0,0
,Food Grain,1,0,1,0
,Kerosene,0,0,0,0
,Life Saving Drug,0,0,0,0
,Mobile Oil,0,0,0,0
,Petrol,0,0,0,0
,Petroleum Product,0,0,0,0
,Soft Drinks,1,0,1,0
,Spices,0,0,0,0
,Others,14,2,1,0
,Sub Total,20,3,3,0
21,AFFRAY (Sec. 160 IPC ),514,29,24,46
22,"ARSON (Sec. 435, 436, 438 IPC )",,,,
,Agricultural Produce,56,0,5,5
,Attemp to Commit,4,0,2,0
,Boat / Ship,0,0,0,0
,Dwelling House,17,2,1,0
,Educational Institution,1,0,1,0
,Govt. Property,5,2,0,0
,Industrial Establishment,3,0,0,0
,Place of worship,3,0,1,0
,Public Place,18,1,2,3
,Railway Property,0,0,0,0
,Vital Installation,0,0,0,0
,Warehouse (Godown),4,0,1,0
,Others,138,8,14,11
,Sub Total,249,13,27,19
23,"ASSAULT (Sec 356, 357 IPC)",,,,
,Attempt To Commit,3,1,0,0
,On Contractor,0,0,0,0
,On Domestic Servant,0,0,0,0
,On Labourer,3,0,0,0
,On Man (General),11,0,2,0
,On Man (SC),1,0,0,0
,On Man (ST),0,1,0,0
,On Manager/Executive (Other Than Public Servant),0,0,0,0
