Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",15578,2202,2062,1774
,Sub Total,15578,2202,2062,1774
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,1,0,0
,Gang Rape,6,1,2,0
,Rape with Murder,0,0,0,0
,Rape,1984,293,242,194
,Others,694,104,72,102
,Sub Total,2684,399,316,296
,Total (Item 1 to 36),40584,6748,4986,5026
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,0,0
,1.2 Gang Rape,11,1,1,2
,1.3 other Cases of Rape,426,53,56,52
,Sub Total,438,54,57,54
2,Outraging modesty (Molestation) (sec.354 IPC),4557,650,445,473
3,Kidnapping & Abduction of Women: (Sec.366 IPC),90,12,14,11
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",98,16,27,13
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",9,0,3,4
7,Murder for other reasons,265,37,26,29
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",1,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",25,5,2,4
10,Attempt to Commit murder for other reasons,530,80,53,64
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,1,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),75,12,8,10
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2111,304,223,246
14,Abetment of Suicide (Sec.306 IPC),110,12,13,19
15,Immoral Traffic (prevention) Act.,201,35,24,15
16,"Indecent Representation of Women(Prohibition) Act-
1986",1,0,0,0
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",80,10,5,7
19,Offences related to Marriage,21,4,3,1
20,Cyber Crimes,4635,769,626,544
,Total (Item 1 to 20),13247,2001,1529,1494
