Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
68,Concealment of birth by secret disposal of Child,,,,
,Girl,15,1,1,4
,Boy,16,2,2,0
,Sub Total,31,3,3,4
69,"ASSAULT OR USE OF CRIMINAL FORCE TO
DISROBE WOMEN",4,1,1,2
70,"Disobedience to Order Promulgated by
Public/Servant",,,,
,By Others,9,2,1,3
,By Private Institution,0,0,0,0
,By Govt. Institution,7,2,1,1
,Sub Total,16,4,2,4
71,Human Trafficking,,,,
,Women,2,0,0,0
,Boy,4,0,0,0
,Eunuch,0,0,0,0
,Men,0,2,0,0
,Girl,1,0,0,0
,Sub Total,7,2,0,0
72,"Giving false information respecting an offence
committed",,,,
,"Giving false information respecting an offence
committed",23,0,12,3
,Sub Total,23,0,12,3
73,Harbouring Offender,2,0,0,0
,Total Cognizable Crime Under IPC/BNS,79664,10399,11235,10948
,,,,,
,B - SPECIAL & LOCAL LAWS,,,,
1,Petty Organised Crimes,0,0,0,0
2,ANTIQUES (CULTURAL PROPERTY),,,,
,Antiques & Art Treasures Act 1972,0,0,0,0
,"Ancient Monument & Archaelogical Sites And
Remains Act 1958",5,0,1,0
,Sub Total,5,0,1,0
3,ARMS ACT 1959,,,,
,"Country Made - Non Prohibited Bore - In Disturbed
Area",8,2,1,2
,"Country Made - Non Prohibited Bore - In Other
Area",92,13,10,17
,"Country Made - Prohibited Bore - In Disturbed
Area",10,3,1,5
,Country Made - Prohibited Bore - In Other Area,74,7,18,11
,"Factory Made - Non Prohibited Bore - In Disturbed
Area",4,0,0,1
,Factory Made - Non Prohibited Bore - In Other Area,18,4,3,2
,Factory Made - Prohibited Bore - In Disturbed Area,7,0,2,1
,Factory Made - Prohibited Bore - In Other Area,27,2,5,1
,Sub Total,240,31,40,40
4,ANIMAL,,,,
,"The Karnataka Prevention of Slaughter and
Preservation of Cattle Ordinance 2020",92,14,27,13
,Wild Life Preservation Act 1972,1,0,0,1
,Wild Life Protection Act 1972,3,0,0,0
,Prevention of Cruelty to Animals Act 1960,169,10,49,21
,Elephant (Preservation) Act 1879,0,0,0,0
,Cattle Tresspass Act 1871,3,0,1,0
,Sub Total,268,24,77,35
5,CINEMATOGRAPHY ACT 1952,,,,
,Films,0,0,0,0
,Video,0,0,0,0
,Sub Total,0,0,0,0
