S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,15,3,
76,KSRP Training Munirabad,14,10,4,
77,PDMS Yelahanka,32,13,19,
78,PTC Gulbarga,45,0,45,
79,PTS Aimangala,19,4,15,
80,PTS Dharwad,19,9,10,
81,PTS Hassan,20,0,20,
82,PTS Kaduru,16,2,14,
83,PTS Mysuru,21,11,10,
84,PTS Thanisandra,22,0,22,
85,RFSL Ballari,7,5,2,
86,RFSL Belgaum,10,1,9,
87,RFSL Davanagere,9,1,8,
88,RFSL Gulbarga,7,0,7,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,12,3,9,
91,RFSL Mysore,8,4,4,
92,SCRB,42,42,0,
93,Southern Range,7,2,5,
94,Special Task Force,8,0,8,
95,State Wireless,82,31,51,
96,TTI Bangalore,5,0,5,
97,Western Range,3,0,3,
,Grand Total,13212,5747,7465,
