DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF MARCH - 2023 (AS ON 06/04/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,7,1,2,3,18,6,3,2,1,3,2,0,3,2,0,5,0,2,1,5,3,1,3,3,2,1,4,1,1,4,2,6,4,0,0,1,6,2,110
2,DACOITY,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,20
3,ROBBERY,1,0,0,4,35,3,2,1,0,1,1,3,5,0,0,5,0,1,0,0,2,2,1,1,2,0,1,7,0,0,1,1,0,3,0,0,0,0,83
3a,CHAIN SNATCHING,0,1,0,2,16,3,1,2,0,0,0,0,4,0,1,1,0,0,0,0,2,2,0,4,0,3,0,1,5,0,2,0,4,2,0,0,0,0,56
4a,BURGLARY - DAY,2,3,5,2,18,4,0,0,1,2,1,0,2,0,1,3,1,0,1,2,4,0,0,2,1,2,2,0,0,5,3,4,3,1,2,3,4,0,84
4b,BURGLARY - NIGHT,11,6,3,8,58,10,10,2,8,9,11,4,13,0,5,14,5,6,4,4,8,1,5,2,5,9,1,5,15,9,5,9,12,3,7,5,4,1,297
5,THEFT,19,28,29,46,671,98,27,7,14,23,28,10,54,8,8,37,24,21,9,14,44,54,7,29,15,27,18,22,24,29,39,34,52,10,18,17,23,24,1661
6,RIOTS,13,5,11,22,14,4,10,12,13,9,24,1,6,9,11,7,27,1,2,10,3,0,0,4,9,4,3,0,11,24,11,12,6,1,5,14,12,6,336
7,CASES OF HURT,17,14,24,43,270,51,43,23,31,52,49,15,19,9,7,80,20,22,19,27,27,0,29,24,8,83,23,26,79,21,77,70,79,19,31,14,42,3,1490
8,Spl & Local laws,149,118,76,288,2137,243,100,85,126,168,364,71,101,72,111,174,95,92,58,191,63,6,50,85,88,281,70,76,173,160,151,240,346,154,108,119,233,109,7331
