S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,182,182,0,
2,Ballari,189,189,0,
3,Belagavi City,201,200,1,
4,Belagavi Dist,302,301,1,
5,Bengaluru City,"2,710","2,019",691,
6,Bengaluru Dist,206,70,136,
7,Bidar,222,222,0,
8,Chamarajanagar,153,153,0,
9,Chickballapura,145,145,0,
10,Chikkamagaluru,259,259,0,
11,Chitradurga,194,131,63,
12,Coastal Security Police,44,31,13,
13,Dakshina Kannada,174,174,0,
14,Davanagere,211,211,0,
15,Dharwad,118,118,0,
16,Gadag,173,146,27,
17,Hassan,204,204,0,
18,Haveri,143,134,9,
19,Hubballi Dharwad City,247,247,0,
20,K.G.F,111,97,14,
21,Kalaburagi,244,175,69,
22,Kalaburagi City,152,151,1,
23,Karnataka Railways,93,91,2,
24,Kodagu,149,147,2,
25,Kolar,195,191,4,
26,Koppal,175,175,0,
27,Mandya,258,254,4,
28,Mangaluru City,238,204,34,
29,Mysuru City,238,204,34,
30,Mysuru Dist,230,230,0,
31,Raichur,173,173,0,
32,Ramanagara,213,177,36,
33,Shivamogga,265,262,3,
34,Tumakuru,298,274,24,
35,Udupi,204,204,0,
,,,,,
