Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,4,3,2,0
15,FOREST,,,,
,Indian Forest Act 1927,0,0,0,0
,Forest (Conservation) Act 1980,7,0,2,4
,Sub Total,7,0,2,4
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,32,20,15,7
,Un-Organised,18,8,5,5
,Sub Total,50,28,20,12
18,BONDED LABOUR SYSTEM,27,0,1,0
19,INDIAN MOTOR VEHICLE,2,2,0,1
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,804,286,178,419
,Synthetic,659,169,166,338
,Sub Total,1463,455,344,757
21,PASSPORT ACT,,,,
,Foreigner,0,1,0,0
,Indian,1,2,0,0
,Sub Total,1,3,0,0
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,8,0,0,8
,Parliament,0,0,0,0
,Other Elected Bodies,1,0,0,1
,Sub Total,9,0,0,9
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),1378,592,522,436
,Street Gambling (87),1555,498,368,880
,House Gambling (79 & 80),49,16,4,34
,Betting,56,33,12,12
,Others,410,37,19,354
,Sub Total,3448,1176,925,1716
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",31,23,9,12
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",4,0,1,3
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,2,1,0,1
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,2,1,0,1
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,471,196,144,163
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",0,0,0,0
,Sub Total,471,196,144,163
31,INDIAN LUNACY ACT,0,0,0,0
