"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(October-2025)","During the current
Year Upto the month
under review","During the month
under review
(October -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3604,30940,1250,15833
2,Mysuru City,210,1841,52,829
3,Hubballi Dharwad City,124,1264,76,984
4,Mangaluru City,209,1928,67,961
5,Belagavi City,157,1390,88,547
6,Kalaburagi City,139,1463,41,859
,Central Range,,,,
1,Bengaluru Dist,535,5342,69,1030
2,Bengaluru South,322,3050,72,804
3,Tumakuru,484,4920,156,2164
4,Kolar,205,1842,30,418
5,Chickballapura,234,2151,109,1447
6,K.G.F,73,668,25,320
,Eastern Range,,,,
1,Chitradurga,336,3352,124,1445
2,Davanagere,311,2750,138,1230
3,Shivamogga,386,4057,153,1635
4,Haveri,200,1988,150,996
,Western Range,,,,
1,Dakshina Kannada,163,1508,47,331
2,Udupi,191,1901,58,663
3,Chikkamagaluru,241,2192,303,1245
4,Uttara Kannada,196,1952,185,1228
,Northern Range,,,,
1,Belagavi Dist,413,3635,206,1664
2,Bagalkot,181,1847,129,1167
3,Vijayapur,257,2558,107,1683
4,Dharwad,91,838,107,554
5,Gadag,110,859,161,1103
,North Eastern Range,,,,
1,Kalaburagi,245,2235,85,790
2,Bidar,230,2539,124,1023
3,Yadgir,123,1322,65,809
,Southern Range,,,,
1,Mysuru Dist,387,4171,48,745
2,Mandya,489,3925,73,960
3,Chamarajanagar,189,1747,51,751
4,Hassan,403,3989,56,1173
5,Kodagu,144,1428,30,509
,Ballari Range,,,,
1,Ballari,174,1619,277,1627
2,Koppal,148,1646,155,1029
3,Raichur,211,2369,116,1159
4,Vijayanagara,136,1541,186,1076
,Karnataka Railways,60,565,23,108
,STATE,12311,115332,5192,52899
