Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,3,Bengaluru District,1
Mangalore City,1,Bidar District,1
Davanagere District,1,Haveri District,1
Ramanagara District,1,U.K. District,1
Bellary District,1,,
