Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,12,0,2,0
15,FOREST,,,,
,Indian Forest Act 1927,4,0,1,1
,Forest (Conservation) Act 1980,7,0,1,1
,Sub Total,11,0,2,2
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,140,9,8,16
,Un-Organised,100,9,14,7
,Sub Total,240,18,22,23
18,BONDED LABOUR SYSTEM,30,0,1,0
19,INDIAN MOTOR VEHICLE,12,0,2,5
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,3286,214,244,79
,Synthetic,2652,207,263,145
,Sub Total,5938,421,507,224
21,PASSPORT ACT,,,,
,Foreigner,0,0,0,0
,Indian,8,1,0,0
,Sub Total,8,1,0,0
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,316,0,0,1
,Parliament,0,0,0,0
,Other Elected Bodies,17,0,0,0
,Sub Total,333,0,0,1
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),4976,286,528,558
,Street Gambling (87),5352,901,642,521
,House Gambling (79 & 80),239,26,32,18
,Betting,470,66,17,105
,Others,1002,37,52,41
,Sub Total,12039,1316,1271,1243
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",134,6,21,13
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",12,1,0,0
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,1,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,1,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,2,0,0,0
,Railway Property (Unlawful Possession) Act 1966,1,0,0,0
,Sub Total,3,0,0,0
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,1,1,0,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,1869,162,193,185
,Commission of SATI (Prevention) Act 1987,1,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",2,1,1,0
,Sub Total,1872,163,194,185
31,INDIAN LUNACY ACT,0,0,0,0
