S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,203,131,72,
37,Vijayanagara,144,123,21,
38,Vijayapura,192,181,11,
39,Yadgir,157,73,84,
40,Forest Cell,40,27,13,
41,CID,232,13,219,
42,ISD Bengaluru,88,18,70,
43,State INT,755,154,601,
44,APTS Yelahanka,20,6,14,
45,Battalion I - Bangalore,65,51,14,
46,Battalion II - Belgaum,39,39,0,
47,Battalion III - Bangalore,60,57,3,
48,Battalion IV - Bangalore,55,53,2,
49,Battalion IX - Bangalore,45,45,0,
50,Battalion V - Mysore,42,42,0,
51,Battalion VI - Gulbarga,35,27,8,
52,Battalion VII - Mangalore,35,35,0,
53,Battalion VIII - Shimoga,38,37,1,
54,Battalion X - Haveri,42,42,0,
55,Battalion XI - Hassan,38,35,3,
56,Battalion XII Tumakuru,47,47,0,
57,Central Range,2,0,2,
58,Centre for Counter Terrorism,64,1,63,
59,Chief Office,132,0,132,
60,COMMANDANT MOUNTED,KARP 22,4,18,
61,DCRE Headquarters Bengalu,ru 42,0,42,
62,DCRE HQ PS Bengaluru,6,1,5,
63,Eastern Range,3,1,2,
64,FPB Unit,11,2,9,
65,FSL Madiwala,27,0,27,
66,I.R.B. Vijayapura,46,43,3,
67,IGP TRAINING,11,0,11,
68,IIIrd BN KSISF,40,10,30,
69,IInd BN KSISF,38,13,25,
70,IRB Munirabad,41,38,3,
71,ISD,177,108,69,
72,Ist BN KSISF,48,21,27,
73,Kalaburgi Range,9,4,5,
74,KPA Mysore,38,8,30,
,,,,,
