Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,14,3,4,1
,1.3 other Cases of Rape,598,46,46,44
,Sub Total,612,49,50,45
2,Outraging modesty (Molestation) (sec.354 IPC),5330,433,506,468
3,Kidnapping & Abduction of Women: (Sec.366 IPC),113,10,12,10
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",363,17,33,32
5,Murder for Dowry - by burning (Sec.302 IPC),1,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",4,0,1,0
7,Murder for other reasons,348,30,41,28
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",2,0,1,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",18,2,1,3
10,Attempt to Commit murder for other reasons,904,70,93,81
11,"Dowry Death-by burning
(Sec.304-B IPC)",1,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),108,5,12,12
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2637,198,264,256
14,Abetment of Suicide (Sec.306 IPC),166,15,20,16
15,Immoral Traffic (prevention) Act.,298,30,17,26
16,"Indecent Representation of Women(Prohibition) Act-
1986",1,0,0,0
17,Pornography,2,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",134,14,16,9
19,Offences related to Marriage,27,3,0,2
20,Cyber Crimes,4017,480,316,308
,Total (Item 1 to 20),15086,1356,1383,1296
