Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",5,1,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),56,8,7,5
4,Kidnapping & Abduction of Children,3210,271,306,394
4.1,For Ransom - of Children,6,3,1,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,2,0,0,1
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,12,0,1,0
,Sub Total,3230,274,308,395
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,173,8,17,17
7,POCSO Act,3721,258,381,320
8,Death of Children due to miscarriage,15,4,0,0
9,Juvenile Justice Act,119,9,8,8
10,Child Labour (Pro.& Reg.) Act,69,2,4,4
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),7388,564,725,749
