Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
61,Attempting to commit offences (Sec.511 IPC),,,,
,Attempting to commit offences,87,20,9,23
,Sub Total,87,20,9,23
62,ILLEGAL DETENTION (Sec.342 IPC),0,0,0,0
63,FALSE EVIDENCE (Sec.191 to 205 IPC),11,5,0,1
64,"EXPOSURE AND ABANDONMENT OF CHILD
(Sec.317 IPC)",,,,
,Boy,12,1,1,1
,Girl,19,7,1,3
,Sub Total,31,8,2,4
65,OF ABETMENT (Sec.107 to 120 IPC),3,1,1,1
66,"FAILURE TO APPEAR TO COURT (Sec.174, 229A
IPC)",,,,
,174 A,34,7,1,2
,229 A,102,49,2,4
,Sub Total,136,56,3,6
67,Concealment of birth by secret disposal of Child,,,,
,Girl,15,2,4,1
,Boy,14,2,2,1
,Sub Total,29,4,6,2
68,"ASSAULT OR USE OF CRIMINAL FORCE TO
DISROBE WOMEN",8,1,1,1
69,"Disobedience to Order Promulgated by
Public/Servant",,,,
,By Others,73,0,44,0
,By Private Institution,7,0,1,0
,By Govt. Institution,41,1,15,3
,Sub Total,121,1,60,3
70,Human Trafficking,,,,
,Eunuch,0,0,0,0
,Men,0,0,0,0
,Boy,1,1,0,0
,Women,6,1,0,2
,Girl,0,1,0,0
,Sub Total,7,3,0,2
71,Aadhaar Act,,,,
,Impersonation,0,0,0,0
,Offence by Company,0,0,0,0
,Offence by individual,0,0,0,0
,Sub Total,0,0,0,0
72,"Giving false information respecting an offence
com",,,,
,"Giving false information respecting an offence
committed",3,1,0,0
,Sub Total,3,1,0,0
,Total Cognizable Crime Under IPC,70290,11074,11748,12955
,,,,,
,B - SPECIAL & LOCAL LAWS,,,,
1,ANTIQUES (CULTURAL PROPERTY),,,,
,Antiques & Art Treasures Act 1972,0,0,0,0
,"Ancient Monument & Archaelogical Sites And
Remains Act 1958",2,0,0,0
,Sub Total,2,0,0,0
2,ARMS ACT 1959,,,,
,"Country Made - Non Prohibited Bore - In Disturbed
Area",4,2,0,0
,"Country Made - Non Prohibited Bore - In Other
Area",57,11,10,8
,Country Made - Prohibited Bore - In Disturbed Area,3,3,0,0
,Country Made - Prohibited Bore - In Other Area,31,3,6,7
,"Factory Made - Non Prohibited Bore - In Disturbed
Area",2,0,0,0
,Factory Made - Non Prohibited Bore - In Other Area,16,5,2,3
,Factory Made - Prohibited Bore - In Disturbed Area,0,0,0,0
,Factory Made - Prohibited Bore - In Other Area,18,3,1,2
,Sub Total,131,27,19,20
