S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Channapatna,23,0,23,
76,KSPTS Khanapur,20,3,17,
77,KSRP PTS BELAGAVI,16,16,0,
78,KSRP Training Munirabad,12,12,0,
79,PDMS Yelahanka,28,10,18,
80,PTC Gulbarga,26,11,15,
81,PTS Aimangala,20,4,16,
82,PTS Dharwad,18,7,11,
83,PTS Hassan,19,0,19,
84,PTS Kaduru,17,4,13,
85,PTS Mysuru,21,3,18,
86,PTS Thanisandra,20,19,1,
87,RFSL Ballari,5,3,2,
88,RFSL Belgaum,10,0,10,
89,RFSL Davanagere,8,6,2,
90,RFSL Gulbarga,7,0,7,
91,RFSL Hubballi,5,0,5,
92,RFSL Mangalore,9,0,9,
93,RFSL Mysore,8,2,6,
94,SCRB,42,36,6,
95,Southern Range,6,2,4,
96,SP DCRE Bengaluru City,1,0,1,
97,SP DCRE Eastern Range,3,1,2,
98,SP DCRE HQ,1,0,1,
99,SP DCRE Western Range,1,0,1,
100,Special Task Force,2,0,2,
101,State Wireless,83,44,39,
102,TTI Bangalore,4,4,0,
103,Western Range,3,2,1,
,Grand Total,12457,8052,4405,
