Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,3,Shivamogga District,2
Ramangara District,2,Kalaburgi City,1
Bagalkot District,1,Gadag District,1
Kodagu District,1,Davanagere District,1
