"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - June - 2025,,,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for June 2025 as on 30.06.2025 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.06.2025",,
1,Bengaluru City,39092,35118,1046,,
2,Belagavi City,3358,3001,33,,
3,Hubli-Dharwad City,1640,1508,80,,
4,Mysore City,2566,2677,5,,
5,Mangalore City,3868,4597,3,,
6,Bagalkot,1543,1493,15,,
7,Ballari,1678,1561,4,,
8,Belagavi,1581,1523,94,,
9,Bengaluru Rural,3193,2541,27,,
10,Bidar,1263,1306,37,,
11,Chamarajanagar,1722,1574,4,,
12,Chikkaballapura,1844,1939,4,,
13,Chikkamagaluru,2231,2084,0,,
14,Chitradurga,2249,2246,37,,
15,Dakshina Kannada,850,825,12,EEExxxppitoo,rrtt ttoo PExDcFel
16,Davanagere,2267,2242,8,,
17,Dharwad,1273,1238,39,,
18,Gadag,786,680,12,,
19,Hassan,3111,2927,11,,
20,Haveri,1426,1367,29,,
21,Kalaburagi,1606,1545,15,,
22,Kodagu,1019,971,6,,
23,Kolar,1518,1309,4,,
24,KGF,892,975,1,,
25,Koppal,1015,981,1,,
26,Mandya,2809,2919,4,,
27,Mysuru,2533,3068,16,,
28,Raichur,3163,1279,513,,
29,Ramanagara,2653,2253,4,,
30,Shivamogga,3214,3032,40,,
31,Tumakuru,3617,3853,6,,
32,Udupi,1907,1898,0,,
33,Uttara Kannada,2958,2599,26,,
34,VijayaNagara,1198,1153,1,EEExxxppitoo,rrtt ttoo PExDcFel
35,Vijayapura,2313,2140,45,,
36,Yadgir,726,651,39,,
,Total,110682,103073,2221,,
