Aadhaar e-Sign details of Chargesheet for the Month of March 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,27,22,81.48
2,Mangalore COP,145,112,77.24
3,Chikkamagaluru District,155,119,76.77
4,Mysuru City,72,55,76.39
5,Gadag District,95,72,75.79
6,Dharwad District,56,42,75.00
7,Uttara Kannada District,108,79,73.15
8,Kalaburagi City,58,40,68.97
9,Haveri District,22,15,68.18
10,Dakshina Kannada District,53,36,67.92
11,Vijayapur District,114,76,66.67
12,Mandya District,198,127,64.14
13,Ballari District,64,41,64.06
14,Yadgir District,60,37,61.67
15,Ramanagara District,128,76,59.38
16,Tumakuru District,325,184,56.62
17,Bagalkot District,27,14,51.85
18,Udupi District,83,41,49.40
19,Chamarajanagar District,72,32,44.44
20,Belagavi District,192,82,42.71
21,Raichur District,153,65,42.48
22,Hassan District,220,80,36.36
23,Chitradurga District,50,18,36.00
24,K.G.F District,24,8,33.33
25,SP Railways,3,1,33.33
26,Hubballi Dharwad City,74,19,25.68
27,Bengaluru District,260,56,21.54
28,Kalaburagi District,39,8,20.51
29,Davanagere District,145,25,17.24
30,Bengaluru City,1277,218,17.07
31,Kolar District,112,17,15.18
32,Vijayanagara District,51,7,13.73
33,Shivamogga District,134,12,8.96
34,Mysuru District,115,5,4.35
35,Belagavi City,24,1,4.17
36,Chickballapura District,318,11,3.46
37,Bidar District,95,3,3.16
38,KODAGU(Madikeri) District,59,1,1.69
Total,,5207,1857,35.66
