DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF MARCH - 2026 (AS ON 01/04/2026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,6,4,1,6,17,7,0,4,1,5,1,2,1,1,2,3,4,0,0,1,4,0,0,3,2,2,2,1,0,1,3,1,6,1,0,2,6,4,104
2,DACOITY,0,0,0,3,7,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,18
3,ROBBERY,0,1,1,2,28,3,2,0,1,0,2,0,0,2,1,0,1,2,0,0,0,2,0,0,1,0,1,0,0,1,0,4,5,0,3,1,1,0,65
3a,CHAIN SNATCHING,0,0,1,5,0,2,5,0,0,2,1,2,0,1,0,0,1,1,0,1,0,1,1,0,3,0,3,0,1,1,0,0,5,0,0,0,0,0,37
4a,BURGLARY - DAY,2,0,1,4,8,3,0,1,1,1,2,1,0,1,0,6,4,0,2,3,1,0,0,3,1,2,2,1,1,3,3,3,8,4,2,2,1,1,78
4b,BURGLARY - NIGHT,10,5,7,10,43,14,10,11,5,4,4,8,4,3,2,2,10,10,6,3,9,6,0,4,4,4,10,3,7,9,7,7,9,4,5,2,3,3,267
5,THEFT,13,45,10,68,710,54,32,34,6,17,14,22,19,43,4,17,16,34,16,3,28,14,33,6,16,14,24,13,21,27,83,51,50,13,10,30,23,40,1673
5a,SNATCHING,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
6,RIOTS,12,6,5,47,2,6,1,7,2,13,6,22,8,20,15,4,8,24,4,0,9,4,0,0,10,6,3,0,0,10,18,8,6,1,5,9,20,11,332
7,CASES OF HURT,9,17,34,97,392,75,45,69,27,51,63,51,24,27,11,13,83,27,14,10,32,17,4,35,26,20,66,13,39,93,22,98,68,12,26,14,39,21,1784
8,Spl & Local laws,117,82,59,216,1697,61,121,70,190,239,132,415,45,143,64,93,160,149,129,40,106,50,14,92,60,114,187,92,69,127,199,232,232,51,128,211,424,116,6726
9a,"RAPE (Sec.376,
376(A) to 376 (D)",1,1,1,3,10,0,1,0,0,1,0,2,2,1,0,1,1,2,0,0,2,1,0,1,0,1,1,3,1,0,4,3,2,0,0,0,1,1,48
9b,DOWRY DEATHS,0,0,0,0,6,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,18
10,POCSO,3,6,1,18,63,8,11,1,4,23,14,8,10,5,4,5,14,9,4,5,11,3,0,4,6,9,4,2,9,14,3,15,19,3,4,5,3,38,368
11,SC ST & POA Act,11,5,1,19,16,5,7,4,2,2,9,4,2,5,2,7,3,5,3,0,10,2,0,3,3,3,10,3,1,8,5,10,16,8,6,6,9,10,225
12a,"107 Cr.P.C./126
BNSS",180,36,97,163,53,18,12,68,64,42,43,94,210,86,62,142,38,39,9,9,63,65,0,107,12,304,31,43,24,80,142,32,26,41,103,92,50,22,2702
12b,"109 Cr.P.C/128
BNSS",0,7,9,3,49,10,1,4,4,3,5,7,2,11,1,10,15,6,6,1,2,0,37,0,3,9,2,2,3,4,3,3,32,1,7,5,6,0,273
12c,"110 Cr.P.C/129
BNSS",3,1,12,10,540,74,16,8,3,3,0,80,96,0,3,9,94,35,3,178,6,7,1,5,97,6,154,24,142,11,10,0,60,37,1,10,25,313,2077
13,"CYBER CRIME
(INFORMATION",14,8,8,10,695,20,20,1,2,14,9,7,8,6,7,13,4,12,15,4,5,2,0,3,4,4,7,9,19,6,4,6,13,12,4,4,29,5,1013
14a,Cr. Br. of Trust,2,1,2,0,34,4,0,2,0,1,1,2,0,4,0,4,3,1,4,0,2,1,1,0,0,1,0,4,2,3,2,2,1,1,0,0,3,0,88
14b,CHEATING,8,12,5,13,169,19,8,3,1,4,8,3,2,6,2,2,9,4,2,2,1,2,0,4,3,7,12,9,11,5,10,18,16,3,4,5,9,3,404
14c,COUNTERFEITING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
16,"Motor vehicles
Theft Cases",6,15,3,31,407,32,16,12,3,8,1,11,3,22,2,4,5,13,9,1,5,8,6,1,3,3,14,6,9,7,17,17,22,3,5,13,8,4,755
17,NDPS Cases,3,7,10,7,344,9,11,6,32,8,16,23,7,28,4,0,22,29,21,8,9,11,10,50,6,7,6,58,21,29,30,128,8,8,32,7,2,0,1017
