"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(July -2024)","During the current
Year Upto the month
under review","During the month
under review
(July-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2638,21131,2143,14003
2,Mysuru City,165,1512,61,433
3,Hubballi Dharwad City,128,958,117,615
4,Mangaluru City,154,1227,103,886
5,Belagavi City,109,1017,26,247
6,Kalaburagi City,148,1004,51,328
,Central Range,,,,
1,Bengaluru Dist,679,4534,144,1130
2,Ramanagara,312,2343,66,516
3,Tumakuru,504,3743,171,1167
4,Kolar,196,1355,47,331
5,Chickballapura,238,1627,173,757
6,K.G.F,73,481,25,238
,Eastern Range,,,,
1,Chitradurga,329,2658,76,871
2,Davanagere,221,1892,95,800
3,Shivamogga,327,2726,107,1066
4,Haveri,170,1522,97,655
,Western Range,,,,
1,Dakshina Kannada,109,1181,32,219
2,Udupi,146,1627,43,440
3,Chikkamagaluru,172,1569,83,582
4,Uttara Kannada,160,1551,70,515
,Northern Range,,,,
1,Belagavi Dist,288,2703,48,715
2,Bagalkot,165,1270,91,555
3,Vijayapur,215,1771,63,684
4,Dharwad,85,668,19,317
5,Gadag,95,605,40,447
,North Eastern Range,,,,
1,Kalaburagi,172,1537,44,520
2,Bidar,203,1811,39,502
3,Yadgir,157,976,91,393
,Southern Range,,,,
1,Mysuru Dist,332,2843,55,525
2,Mandya,321,2466,66,608
3,Chamarajanagar,187,1150,55,403
4,Hassan,362,3090,99,708
5,Kodagu,89,854,55,340
,Ballari Range,,,,
1,Ballari,158,1232,99,788
2,Koppal,165,1019,142,586
3,Raichur,241,1575,140,841
4,Vijayanagara,118,1015,71,599
,Karnataka Railways,71,518,2,67
,STATE,10402,82761,4949,35397
