S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,160,95,65,
2,Ballari,149,113,36,
3,Belagavi City,228,105,123,
4,Belagavi Dist,277,103,174,
5,Bengaluru City,"3,181",880,2301,
6,Bengaluru Dist,225,58,167,
7,Bidar,193,83,110,
8,Chamarajanagar,121,56,65,
9,Chickballapura,125,89,36,
10,Chikkamagaluru,192,59,133,
11,Chitradurga,196,53,143,
12,Coastal Security Police,56,13,43,
13,Dakshina Kannada,153,132,21,
14,Davanagere,187,63,124,
15,Dharwad,109,101,8,
16,Gadag,134,68,66,
17,Hassan,196,68,128,
18,Haveri,161,71,90,
19,Hubballi Dharwad City,245,96,149,
20,K.G.F,83,34,49,
21,Kalaburagi,201,50,151,
22,Kalaburagi City,163,49,114,
23,Karnataka Railways,98,37,61,
24,Kodagu,148,59,89,
25,Kolar,161,60,101,
26,Koppal,157,144,13,
27,Mandya,197,78,119,
28,Mangaluru City,218,90,128,
29,Mysuru City,248,85,163,
30,Mysuru Dist,165,69,96,
31,Raichur,176,110,66,
32,Ramanagara,161,58,103,
33,Shivamogga,199,125,74,
34,Tumakuru,265,129,136,
35,Udupi,144,98,46,
,,,,,
