"Comparitive Crime Statement 17 for the Years 2022, 2023, and 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024 As on 29/02/2024,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,272,11,1,260,0,5,2,1,229,17,5,1,0,296,5,3,288,0,1,0,0,167,116,4,0,0,34,0,0,34,0,0,0,0,5,29,0,0,
Cow Slaughter,406,3,2,401,0,8,1,1,357,18,14,2,0,260,5,4,251,0,2,0,0,196,49,3,1,0,30,0,0,30,0,0,0,0,1,29,0,0,
Animal Sacrifice Act,462,20,2,440,0,21,2,1,369,17,29,1,0,344,12,1,331,0,18,0,0,225,73,14,1,0,47,1,1,45,0,0,0,0,4,41,0,0,
P.I.T Act,240,3,0,237,0,4,0,0,228,4,1,0,0,313,2,1,310,0,0,0,0,183,126,0,1,0,60,0,0,60,0,0,0,0,2,58,0,0,
POCSO,3190,56,96,3038,0,82,863,5,2036,5,10,20,17,3830,45,167,3618,0,10,274,0,3054,252,7,14,7,602,0,20,582,0,0,0,0,36,546,0,0,
K.P Act,460,6,1,453,0,167,6,2,259,1,4,11,3,1313,197,2,1114,0,226,3,2,773,98,2,9,1,104,0,0,104,0,2,1,0,61,40,0,0,
E.C Act,815,21,2,792,0,5,5,0,675,67,10,29,1,488,7,1,480,0,2,0,0,224,243,1,10,0,70,0,0,70,0,0,0,0,0,69,0,1,
SC/ST/Act,2137,387,122,1628,1,7,168,2,1362,65,4,16,4,2142,340,41,1761,0,0,12,0,1537,192,5,13,2,412,1,10,401,0,0,0,0,12,389,0,0,
Explosive Act,62,4,1,57,0,7,0,0,34,7,8,1,0,270,1,0,269,0,10,0,0,78,179,2,0,0,19,0,0,19,0,0,0,0,0,19,0,0,
N.D.P.S AcT,6406,14,3,6389,0,2179,63,11,4077,28,13,13,5,6764,12,0,6752,0,1834,43,6,4269,592,4,3,1,556,0,0,556,0,12,0,0,225,318,0,1,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,4,1,0,3,0,0,0,0,3,0,0,0,0,13,0,0,13,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R.P.Act,6,2,0,4,0,0,0,0,2,2,0,0,0,338,57,7,274,0,42,1,2,201,4,18,5,1,2,0,0,2,0,0,0,0,0,2,0,0,
Children Act,355,37,14,304,0,20,10,1,254,15,1,3,0,370,52,14,304,0,11,2,0,198,87,5,1,0,52,0,1,51,0,0,0,0,2,49,0,0,
Sati Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cinema Autography Act,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Gambling Act,13045,1,0,13044,0,7358,180,83,5334,19,1,58,11,13660,5,3,13652,0,5022,55,65,8092,397,1,17,3,1947,0,0,1947,0,52,1,0,946,947,0,1,
Excise Act,8865,0,0,8865,0,4111,341,72,4242,7,2,50,40,9331,3,1,9327,0,2488,92,39,6289,352,28,24,15,847,0,0,847,0,38,0,0,314,495,0,0,
D.P Act,2238,208,53,1977,0,1,139,13,1677,98,0,47,2,2314,104,48,2162,0,0,8,0,1141,1004,0,9,0,367,1,4,362,0,0,0,0,4,358,0,0,
Other Special and Local Laws,14476,261,21,14194,0,378,30,1808,2142,1723,8083,23,7,25621,198,34,25389,0,749,31,921,2859,16484,4325,16,4,4299,0,4,4295,0,5,6,0,80,4203,1,0,
