Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Chikkamagaluru District,333,326,97.90
2,Tumakuru District,831,807,97.11
3,Dharwad District,137,132,96.35
4,Vijayapur District,443,422,95.26
5,Ballari District,293,276,94.20
6,Koppal District,268,252,94.03
7,Kalaburagi City,232,214,92.24
8,Mysuru City,237,218,91.98
9,Yadgir District,241,219,90.87
10,Gadag District,135,122,90.37
11,SP Railways,62,56,90.32
12,Bagalkot District,265,237,89.43
13,Udupi District,291,253,86.94
14,Dakshina Kannada District,158,137,86.71
15,Belagavi District,467,385,82.44
16,Uttara Kannada District,308,239,77.60
17,Chamarajanagar District,277,212,76.53
18,Mandya District,507,368,72.58
19,Kolar District,252,181,71.83
20,Raichur District,344,243,70.64
21,K.G.F District,98,69,70.41
22,Chitradurga District,455,308,67.69
23,Hassan District,512,315,61.52
24,Bengaluru District,754,459,60.88
25,Haveri District,332,201,60.54
26,Davanagere District,465,258,55.48
27,Ramanagara District,414,217,52.42
28,Bengaluru City,4249,1708,40.20
29,Vijayanagara District,252,100,39.68
30,KODAGU(Madikeri) District,185,61,32.97
31,Hubballi Dharwad City,198,61,30.81
32,Chickballapura District,352,92,26.14
33,Mysuru District,537,112,20.86
34,Mangalore COP,313,50,15.97
35,Kalaburagi District,306,37,12.09
36,Shivamogga District,654,52,7.95
37,Bidar District,358,28,7.82
38,Belagavi City,209,14,6.70
Total,,16724,9441,56.45
