S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,221,221,0,
37,Vijayanagara,138,138,0,
38,Vijayapur,219,219,0,
39,Yadgir,144,96,48,
40,Forest Cell,45,30,15,
41,CID,214,137,77,
42,ISD Bengaluru,72,65,7,
43,State INT,724,625,99,
44,APTS Yelahanka,16,5,11,
45,Battalion I - Bangalore,59,51,8,
46,Battalion II - Belgaum,31,2,29,
47,Battalion III - Bangalore,49,46,3,
48,Battalion IV - Bangalore,40,31,9,
49,Battalion IX - Bangalore,32,31,1,
50,Battalion V - Mysore,36,33,3,
51,Battalion VI - Gulbarga,38,30,8,
52,Battalion VII - Mangalore,33,30,3,
53,Battalion VIII - Shimoga,35,35,0,
54,Battalion X - Haveri,40,27,13,
55,Battalion XI - Hassan,45,42,3,
56,Battalion XII Tumakuru,39,39,0,
57,Central Range,5,1,4,
58,Centre for Counter Terrorism,44,8,36,
59,Chief Office,117,33,84,
60,COMMANDANT MOUNTED,KARP 20,20,0,
61,Eastern Range,3,3,0,
62,FPB Unit,19,0,19,
63,FSL Madiwala,20,11,9,
64,I.R.B. Vijayapura,40,14,26,
65,IGP Railways,3,3,0,
66,IGP TRAINING,8,4,4,
67,IIIrd BN KSISF,27,25,2,
68,IInd BN KSISF,25,24,1,
69,IRB Munirabad,48,44,4,
70,ISD,145,121,24,
71,Ist BN KSISF,43,43,0,
72,Kalaburgi Range,5,2,3,
73,KPA Mysore,29,29,0,
74,KSPTS Channapatna,20,20,0,
,,,,,
