Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 8 8,846,1134,347,1487,1834
2,State Highways,261,640,901,280,1192,1472
3,Other Roads,3 50,1241,1591,357,1728,2085
,TOTAL,899,2727,3626,984,4407,5391
