"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - March - 2024,,,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for March 2024 as on 31.03.2024 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.03.2024",,
1,Bengaluru City,36362,34767,70,,
2,Belagavi City,3311,3197,410,,
3,Hubli-Dharwad City,1734,1492,611,,
4,Mysore City,3878,4744,95,,
5,Mangalore City,3995,3934,295,,
6,Bagalkot,2106,2007,35,,
7,Ballari,1416,1379,14,,
8,Belagavi,1675,1720,22,,
9,Bengaluru Rural,2786,3814,215,,
10,Bidar,1328,1091,90,,
11,Chamarajanagar,1654,1505,67,,
12,Chikkaballapura,1957,2034,2,,
13,Chikkamagaluru,2399,2412,5,,
14,Chitradurga,2168,1954,44,,
15,Dakshina Kannada,973,940,7,EEExxxppitoo,rrtt ttoo PExDcFel
16,Davanagere,2038,2179,4,,
17,Dharwad,1392,1190,105,,
18,Gadag,703,769,5,,
19,Hassan,3377,3119,9,,
20,Haveri,1602,1598,11,,
21,Kalaburagi,1338,1229,10,,
22,Kodagu,1088,1179,2,,
23,Kolar,1753,1805,41,,
24,KGF,1306,1304,19,,
25,Koppal,826,765,1,,
26,Mandya,2859,2877,37,,
27,Mysuru,2580,2284,8,,
28,Raichur,924,909,14,,
29,Ramanagara,2817,2981,25,,
30,Shivamogga,2881,2846,97,,
31,Tumakuru,3809,4081,13,,
32,Udupi,2622,2534,0,,
33,Uttara Kannada,3051,3083,4,,
34,VijayaNagara,1012,957,21,EEExxxppitoo,rrtt ttoo PExDcFel
35,Vijayapura,1847,1844,46,,
36,Yadgir,504,467,26,,
,Total,108071,106990,2480,,
